,tilename,username,cored,diffuse,CAA,10xfields,coords,rot,prediction_model,cored annotation,diffuse annotation,CAA annotation,negative annotation,flag annotation,notsure annotation
10,phase1/blobs/cw13-0/cw13-0_22_5_62.jpg,NA (prediction),0.008983241999999999,0.016753687,0.79326355,phase1/10x_tiles/cw13-0/0/22/5.jpg,[695 811 256 256],0,NP4,0,0,0,1,0,0
11,phase1/blobs/cw15-29/cw15-29_1_32_5.jpg,NA (prediction),0.77106255,0.01037826,0.5914318000000001,phase1/10x_tiles/cw15-29/0/1/32.jpg,[223 471 256 256],0,consensus_of_2,0,0,0,1,0,0
12,phase1/blobs/NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_18_10_5.jpg,NA (prediction),0.001630909,0.6479686,0.5774491,phase1/10x_tiles/NA37UCDtemporalgyri _4G8/0/18/10.jpg,[1158 75 256 256],0,consensus_of_2,0,1,0,0,1,0
13,phase1/blobs/cw13-0/cw13-0_19_18_17.jpg,NA (prediction),0.0025416296,0.007139895600000001,0.39543274,phase1/10x_tiles/cw13-0/0/19/18.jpg,[85 132 256 256],0,NP4,0,0,0,1,0,0
14,phase1/blobs/NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_29_23_15.jpg,NA (prediction),0.99883384,0.9958417,4.255147e-05,phase1/10x_tiles/NA28UCDtemporalgyri _4G8/0/29/23.jpg,[1272 570 256 256],0,NP4,0,1,0,0,0,0
15,phase1/blobs/cw17-41/cw17-41_23_28_53.jpg,consensus_of_2,0.0,1.0,5.0,phase1/10x_tiles/cw17-41/0/23/28.jpg,[1246 1271  256  256],90,None (label),0,1,1,0,0,0
16,phase1/blobs/cw17-34/cw17-34_23_31_2.jpg,consensus_of_2,5.0,0.0,0.0,phase1/10x_tiles/cw17-34/0/23/31.jpg,[370   0 256 256],90,None (label),0,1,0,0,0,0
17,phase1/blobs/NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_21_26_8.jpg,NA (prediction),0.0034282971000000003,0.053380124,0.9749448,phase1/10x_tiles/NA15UCDtemporalgyri _4G8/0/21/26.jpg,[523 236 256 256],0,consensus_of_2,0,0,0,1,0,0
18,phase1/blobs/NA42UCDtemporalgyri _4G8/NA42UCDtemporalgyri _4G8_14_26_11.jpg,NP4,0.0,1.0,0.0,phase1/10x_tiles/NA42UCDtemporalgyri _4G8/0/14/26.jpg,[309 255 256 256],90,None (label),0,1,0,0,1,0
19,phase1/blobs/NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_5_18_38.jpg,NA (prediction),0.022627575,0.9999908000000002,1.1898629e-06,phase1/10x_tiles/NA37UCDtemporalgyri _4G8/0/5/18.jpg,[1182 1128 256 256],0,NP4,0,1,0,0,0,0
20,phase1/blobs/cw18-33/cw18-33_6_36_4.jpg,NP4,0.0,0.0,1.0,phase1/10x_tiles/cw18-33/0/6/36.jpg,[  64 1276  256  256],270,None (label),0,0,1,0,0,0
21,phase1/blobs/cw17-3/cw17-3_9_11_21.jpg,consensus_of_2,0.0,0.0,5.0,phase1/10x_tiles/cw17-3/0/9/11.jpg,[ 947 1015  256  256],180,None (label),0,0,1,0,0,0
22,phase1/blobs/NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_13_29_114.jpg,NA (prediction),0.99762803,0.48018306,1.7898982e-08,phase1/10x_tiles/NA28UCDtemporalgyri _4G8/0/13/29.jpg,[0 320 256 256],0,NP4,0,1,0,0,0,0
23,phase1/blobs/NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_28_20_17.jpg,NA (prediction),0.054331303,0.75834244,0.044326205,phase1/10x_tiles/NA28UCDtemporalgyri _4G8/0/28/20.jpg,[1162 470 256 256],0,NP4,0,0,0,1,0,0
24,phase1/blobs/8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_19_38_61.jpg,NA (prediction),0.99999714,0.93750244,3.1040398e-10,phase1/10x_tiles/8-3_UTSW_temporal_6E10/0/19/38.jpg,[1127 678 256 256],0,NP4,1,0,0,0,0,0
25,phase1/blobs/13-3_UTSW_temporal_6E10/13-3_UTSW_temporal_6E10_15_23_13.jpg,consensus_of_2,4.0,0.0,0.0,phase1/10x_tiles/13-3_UTSW_temporal_6E10/0/15/23.jpg,[840 864 256 256],270,None (label),1,0,0,0,0,0
26,phase1/blobs/cw17-41/cw17-41_23_28_35.jpg,consensus_of_2,1.0,4.0,0.0,phase1/10x_tiles/cw17-41/0/23/28.jpg,[1239  834  256  256],0,None (label),0,1,0,0,0,0
27,phase1/blobs/47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_16_28_0.jpg,NP4,0.0,1.0,0.0,phase1/10x_tiles/47-3_UTSW_temporal_6E10/0/16/28.jpg,[196   0 256 256],270,None (label),0,1,0,0,0,0
28,phase1/blobs/NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_27_16_21.jpg,NA (prediction),0.9882244,0.17883652,0.3577546,phase1/10x_tiles/NA28UCDtemporalgyri _4G8/0/27/16.jpg,[843 123 256 256],0,consensus_of_2,0,1,1,0,1,0
29,phase1/blobs/NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_8_9_14.jpg,NA (prediction),0.9931961,0.58150005,4.7064193e-05,phase1/10x_tiles/NA37UCDtemporalgyri _4G8/0/8/9.jpg,[853 258 256 256],0,consensus_of_2,0,1,0,0,0,0
30,phase1/blobs/NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_14_5_38.jpg,NA (prediction),0.13434918,0.9991392,1.3770223e-05,phase1/10x_tiles/NA37UCDtemporalgyri _4G8/0/14/5.jpg,[320 108 256 256],0,NP4,0,1,0,0,0,0
31,phase1/blobs/NA7UCDtemporalgyri _4G8/NA7UCDtemporalgyri _4G8_3_28_0.jpg,NA (prediction),0.9988997,0.03242301,0.00012998495,phase1/10x_tiles/NA7UCDtemporalgyri _4G8/0/3/28.jpg,[1080 378 256 256],0,NP4,0,0,1,0,0,0
32,phase1/blobs/NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_4_27_4.jpg,NA (prediction),0.9999217,0.0005480016,2.5481273e-10,phase1/10x_tiles/NA15UCDtemporalgyri _4G8/0/4/27.jpg,[745 462 256 256],0,NP4,1,0,0,0,0,0
33,phase1/blobs/17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_6_5_32.jpg,NA (prediction),0.99999976,0.31971684,1.762841e-08,phase1/10x_tiles/17-3_UTSW_temporal_6E10/0/6/5.jpg,[670 319 256 256],0,NP4,1,0,0,0,1,0
34,phase1/blobs/NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_9_30_0.jpg,NA (prediction),0.9902408,0.038472448,0.08673329,phase1/10x_tiles/NA27UCDtemporalgyri _4G8/0/9/30.jpg,[0 0 256 256],0,NP4,1,0,0,0,1,0
35,phase1/blobs/NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_11_25_26.jpg,NA (prediction),0.0023590885,0.99710864,0.00018360854,phase1/10x_tiles/NA23UCDtemporalgyri _4G8/0/11/25.jpg,[600 550 256 256],0,NP4,0,1,0,0,1,0
36,phase1/blobs/cw15-12/cw15-12_28_37_62.jpg,NA (prediction),0.0011299283,0.26538804,0.017977454,phase1/10x_tiles/cw15-12/0/28/37.jpg,[1096 877 256 256],0,consensus_of_2,0,0,0,1,0,0
37,phase1/blobs/17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_4_17_10.jpg,NA (prediction),0.99759054,0.8594886999999999,0.00016681605,phase1/10x_tiles/17-3_UTSW_temporal_6E10/0/4/17.jpg,[1220 360 256 256],0,consensus_of_2,0,1,0,0,1,0
38,phase1/blobs/cw15-31/cw15-31_21_14_7.jpg,NP4,1.0,0.0,0.0,phase1/10x_tiles/cw15-31/0/21/14.jpg,[164 640 256 256],0,None (label),1,0,0,0,0,0
39,phase1/blobs/NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_21_31_48.jpg,NA (prediction),0.990646,0.8607334000000001,1.1523815e-05,phase1/10x_tiles/NA28UCDtemporalgyri _4G8/0/21/31.jpg,[1280 1256 256 256],0,NP4,0,1,0,0,1,0
40,phase1/blobs/NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_19_31_50.jpg,NA (prediction),3.1825366e-05,0.0028852387,0.9999442,phase1/10x_tiles/NA28UCDtemporalgyri _4G8/0/19/31.jpg,[1060 0 256 256],0,consensus_of_2,0,0,0,1,0,0
41,phase1/blobs/cw18-48/cw18-48_27_34_9.jpg,NA (prediction),0.9525004,0.46980348,0.0057821404,phase1/10x_tiles/cw18-48/0/27/34.jpg,[0 36 256 256],0,consensus_of_2,0,0,0,1,0,0
42,phase1/blobs/cw17-11/cw17-11_12_24_16.jpg,consensus_of_2,0.0,0.0,5.0,phase1/10x_tiles/cw17-11/0/12/24.jpg,[252 653 256 256],270,None (label),0,0,1,0,0,0
43,phase1/blobs/NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_8_30_38.jpg,NA (prediction),0.99775463,0.9835286,4.308766599999998e-06,phase1/10x_tiles/NA28UCDtemporalgyri _4G8/0/8/30.jpg,[1136 1280 256 256],0,consensus_of_2,0,1,0,0,1,0
44,phase1/blobs/NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_12_22_67.jpg,NA (prediction),0.90105486,0.9625383,3.7938964e-05,phase1/10x_tiles/NA28UCDtemporalgyri _4G8/0/12/22.jpg,[621 1242 256 256],0,consensus_of_2,0,1,0,0,1,0
45,phase1/blobs/NA49UCDtemporalgyri _4G8/NA49UCDtemporalgyri _4G8_20_10_5.jpg,consensus_of_2,5.0,0.0,0.0,phase1/10x_tiles/NA49UCDtemporalgyri _4G8/0/20/10.jpg,[776   0 256 256],270,None (label),1,0,0,0,0,0
46,phase1/blobs/NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_11_10_8.jpg,NA (prediction),0.9999573,0.074659266,1.826856e-05,phase1/10x_tiles/NA23UCDtemporalgyri _4G8/0/11/10.jpg,[786 740 256 256],0,NP4,0,1,0,0,0,0
47,phase1/blobs/NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_23_19_28.jpg,NA (prediction),0.033704136,0.23053774,0.96892166,phase1/10x_tiles/NA27UCDtemporalgyri _4G8/0/23/19.jpg,[475 631 256 256],0,consensus_of_2,0,0,0,1,0,0
48,phase1/blobs/44-3_UTSW_temporal_6E10/44-3_UTSW_temporal_6E10_10_23_7.jpg,NP4,1.0,0.0,0.0,phase1/10x_tiles/44-3_UTSW_temporal_6E10/0/10/23.jpg,[1229  449  256  256],180,None (label),1,0,0,0,1,0
49,phase1/blobs/NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_21_26_18.jpg,NA (prediction),9.626745e-06,0.00011706393,0.9975948,phase1/10x_tiles/NA15UCDtemporalgyri _4G8/0/21/26.jpg,[593 724 256 256],0,consensus_of_2,0,0,1,0,1,0
50,phase1/blobs/8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_7_24_4.jpg,NA (prediction),0.0028289144,0.0005699244999999999,0.999987,phase1/10x_tiles/8-3_UTSW_temporal_6E10/0/7/24.jpg,[506 108 256 256],0,consensus_of_2,0,0,1,0,1,0
51,phase1/blobs/NA21UCDtemporalgyri _4G8/NA21UCDtemporalgyri _4G8_20_13_3.jpg,NP4,1.0,0.0,0.0,phase1/10x_tiles/NA21UCDtemporalgyri _4G8/0/20/13.jpg,[469  72 256 256],270,None (label),0,1,0,0,0,0
52,phase1/blobs/cw15-29/cw15-29_0_18_13.jpg,NA (prediction),0.00408885,0.011103459,0.8720994000000001,phase1/10x_tiles/cw15-29/0/0/18.jpg,[914 275 256 256],0,NP4,0,0,0,1,0,0
53,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_28_13_27.jpg,consensus_of_2,0.0,0.0,3.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/28/13.jpg,[395 698 256 256],90,None (label),0,0,0,1,0,0
54,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_8_31_28.jpg,consensus_of_2,0.0,0.0,5.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/8/31.jpg,[1053    0  256  256],0,None (label),0,0,1,0,1,0
55,phase1/blobs/NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_25_17_74.jpg,NA (prediction),0.9994443,0.2106644,1.3872364e-07,phase1/10x_tiles/NA28UCDtemporalgyri _4G8/0/25/17.jpg,[553 977 256 256],0,NP4,1,0,0,0,0,0
56,phase1/blobs/NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_8_32_22.jpg,NA (prediction),0.99959725,0.89822984,2.364272e-06,phase1/10x_tiles/NA28UCDtemporalgyri _4G8/0/8/32.jpg,[0 561 256 256],0,NP4,0,1,0,0,1,0
57,phase1/blobs/47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_18_14_19.jpg,NP4,0.0,1.0,0.0,phase1/10x_tiles/47-3_UTSW_temporal_6E10/0/18/14.jpg,[ 23 454 256 256],270,None (label),0,1,0,0,0,0
58,phase1/blobs/8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_21_36_0.jpg,NA (prediction),0.99807703,0.8869060999999999,8.454409e-05,phase1/10x_tiles/8-3_UTSW_temporal_6E10/0/21/36.jpg,[823 0 256 256],0,NP4,0,1,0,0,1,0
59,phase1/blobs/NA16UCDtemporalgyri _4G8/NA16UCDtemporalgyri _4G8_17_31_19.jpg,consensus_of_2,3.0,2.0,0.0,phase1/10x_tiles/NA16UCDtemporalgyri _4G8/0/17/31.jpg,[431 953 256 256],0,None (label),0,1,0,0,0,0
60,phase1/blobs/cw17-3/cw17-3_6_34_12.jpg,consensus_of_2,0.0,0.0,5.0,phase1/10x_tiles/cw17-3/0/6/34.jpg,[ 544 1221  256  256],270,None (label),0,0,1,0,1,0
61,phase1/blobs/8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_15_38_0.jpg,NA (prediction),0.0015899728,0.31105822,0.9324823,phase1/10x_tiles/8-3_UTSW_temporal_6E10/0/15/38.jpg,[815 0 256 256],0,NP4,0,0,1,0,0,0
62,phase1/blobs/13-3_UTSW_temporal_6E10/13-3_UTSW_temporal_6E10_3_32_41.jpg,NP4,0.0,1.0,0.0,phase1/10x_tiles/13-3_UTSW_temporal_6E10/0/3/32.jpg,[ 327 1280  256  256],270,None (label),0,1,0,0,0,1
63,phase1/blobs/8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_17_22_18.jpg,NA (prediction),0.9998412,0.0055005625,2.8471487e-07,phase1/10x_tiles/8-3_UTSW_temporal_6E10/0/17/22.jpg,[70 366 256 256],0,NP4,1,0,0,0,0,0
64,phase1/blobs/cw18-2/cw18-2_6_2_0.jpg,consensus_of_2,0.0,0.0,4.0,phase1/10x_tiles/cw18-2/0/6/2.jpg,[  0 945 256 256],180,None (label),0,0,1,0,1,0
65,phase1/blobs/17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_18_25_27.jpg,NA (prediction),0.95554626,0.46629626,8.956166e-05,phase1/10x_tiles/17-3_UTSW_temporal_6E10/0/18/25.jpg,[995 704 256 256],0,NP4,0,1,0,0,1,0
66,phase1/blobs/25-3_UTSW_temporal_6E10/25-3_UTSW_temporal_6E10_8_11_75.jpg,NP4,1.0,0.0,0.0,phase1/10x_tiles/25-3_UTSW_temporal_6E10/0/8/11.jpg,[1147 1253  256  256],180,None (label),1,0,0,0,0,0
67,phase1/blobs/NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_12_12_0.jpg,NA (prediction),4.235031e-05,0.00018346311,0.999998,phase1/10x_tiles/NA15UCDtemporalgyri _4G8/0/12/12.jpg,[1280 0 256 256],0,consensus_of_2,0,0,1,0,1,0
68,phase1/blobs/NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_4_16_9.jpg,NA (prediction),0.99992955,0.96513826,8.475799999999998e-07,phase1/10x_tiles/NA23UCDtemporalgyri _4G8/0/4/16.jpg,[229 1252 256 256],0,NP4,0,1,0,0,0,0
69,phase1/blobs/cw15-12/cw15-12_27_41_5.jpg,NA (prediction),0.00042068167,3.549754000000001e-05,0.97288597,phase1/10x_tiles/cw15-12/0/27/41.jpg,[1171 1280 256 256],0,consensus_of_2,0,0,0,1,0,0
70,phase1/blobs/NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_16_22_17.jpg,NA (prediction),0.14352220000000002,0.9410959,0.00037047485,phase1/10x_tiles/NA27UCDtemporalgyri _4G8/0/16/22.jpg,[1120 238 256 256],0,NP4,0,1,0,0,1,0
71,phase1/blobs/NA49UCDtemporalgyri _4G8/NA49UCDtemporalgyri _4G8_17_29_6.jpg,consensus_of_2,0.0,5.0,0.0,phase1/10x_tiles/NA49UCDtemporalgyri _4G8/0/17/29.jpg,[1076   45  256  256],270,None (label),0,1,0,0,0,0
72,phase1/blobs/NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_27_22_34.jpg,NA (prediction),0.007528563,0.99999857,1.7197179999999994e-05,phase1/10x_tiles/NA28UCDtemporalgyri _4G8/0/27/22.jpg,[1099 1212 256 256],0,NP4,0,1,0,0,0,0
73,phase1/blobs/cw15-29/cw15-29_17_2_17.jpg,NA (prediction),0.0006282009,0.0008924191,0.78559595,phase1/10x_tiles/cw15-29/0/17/2.jpg,[856 657 256 256],0,NP4,0,0,0,1,0,0
74,phase1/blobs/17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_14_23_26.jpg,NA (prediction),0.9999825,0.21803273,1.3287776000000004e-08,phase1/10x_tiles/17-3_UTSW_temporal_6E10/0/14/23.jpg,[1193 736 256 256],0,consensus_of_2,1,0,0,0,0,0
75,phase1/blobs/NA46UCDtemporalgyri _4G8/NA46UCDtemporalgyri _4G8_28_22_9.jpg,consensus_of_2,0.0,4.0,0.0,phase1/10x_tiles/NA46UCDtemporalgyri _4G8/0/28/22.jpg,[497 809 256 256],270,None (label),0,1,0,0,0,0
76,phase1/blobs/NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_7_26_42.jpg,NA (prediction),0.7698311999999999,0.9999988,0.009854122,phase1/10x_tiles/NA27UCDtemporalgyri _4G8/0/7/26.jpg,[0 1077 256 256],0,NP4,0,1,0,0,1,0
77,phase1/blobs/NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_30_12_0.jpg,NA (prediction),0.95140487,0.1871508,0.004738156,phase1/10x_tiles/NA28UCDtemporalgyri _4G8/0/30/12.jpg,[777 138 256 256],0,NP4,0,0,0,1,0,0
78,phase1/blobs/NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_25_13_0.jpg,NA (prediction),0.9220005,0.00035752216,0.5357593,phase1/10x_tiles/NA28UCDtemporalgyri _4G8/0/25/13.jpg,[802 0 256 256],0,consensus_of_2,0,0,0,1,0,0
79,phase1/blobs/NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_23_19_10.jpg,NA (prediction),0.9989403,0.022337774,2.461394200000001e-12,phase1/10x_tiles/NA15UCDtemporalgyri _4G8/0/23/19.jpg,[829 674 256 256],0,NP4,1,0,0,0,0,0
80,phase1/blobs/cw17-11/cw17-11_18_31_37.jpg,NP4,1.0,0.0,0.0,phase1/10x_tiles/cw17-11/0/18/31.jpg,[  70 1254  256  256],180,None (label),1,0,0,0,1,0
81,phase1/blobs/cw13-0/cw13-0_28_9_32.jpg,NA (prediction),0.007827194,0.015111591,0.79709834,phase1/10x_tiles/cw13-0/0/28/9.jpg,[152 536 256 256],0,NP4,0,0,0,1,0,0
82,phase1/blobs/NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_3_15_15.jpg,NA (prediction),0.0018883646,0.041015662,0.9917749,phase1/10x_tiles/NA15UCDtemporalgyri _4G8/0/3/15.jpg,[1079 1245 256 256],0,consensus_of_2,0,0,1,0,1,0
83,phase1/blobs/NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_13_22_5.jpg,NA (prediction),0.23410885,0.98087156,0.0013545775,phase1/10x_tiles/NA28UCDtemporalgyri _4G8/0/13/22.jpg,[693 0 256 256],0,consensus_of_2,0,0,0,1,0,0
84,phase1/blobs/17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_17_6_10.jpg,NA (prediction),3.9610626e-05,0.99999976,0.02155661,phase1/10x_tiles/17-3_UTSW_temporal_6E10/0/17/6.jpg,[108 170 256 256],0,NP4,0,1,0,0,0,0
85,phase1/blobs/17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_16_18_24.jpg,NA (prediction),0.2866184,0.9995851,0.00021712294,phase1/10x_tiles/17-3_UTSW_temporal_6E10/0/16/18.jpg,[914 1190 256 256],0,consensus_of_2,0,1,0,0,0,0
86,phase1/blobs/NA49UCDtemporalgyri _4G8/NA49UCDtemporalgyri _4G8_17_29_85.jpg,NP4,1.0,0.0,0.0,phase1/10x_tiles/NA49UCDtemporalgyri _4G8/0/17/29.jpg,[ 600 1254  256  256],0,None (label),1,0,0,0,0,0
87,phase1/blobs/NA22UCDtemporalgyri _4G8/NA22UCDtemporalgyri _4G8_12_31_17.jpg,consensus_of_2,2.0,2.0,0.0,phase1/10x_tiles/NA22UCDtemporalgyri _4G8/0/12/31.jpg,[ 801 1280  256  256],180,None (label),0,1,0,0,0,1
88,phase1/blobs/NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_15_24_53.jpg,NA (prediction),0.9999999,0.99209964,5.6263158e-08,phase1/10x_tiles/NA27UCDtemporalgyri _4G8/0/15/24.jpg,[420 1280 256 256],0,NP4,1,0,0,0,0,0
89,phase1/blobs/cw18-18/cw18-18_24_21_0.jpg,consensus_of_2,0.0,5.0,0.0,phase1/10x_tiles/cw18-18/0/24/21.jpg,[822  16 256 256],0,None (label),0,1,0,0,0,0
90,phase1/blobs/17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_18_1_42.jpg,NA (prediction),0.0006098028400000001,0.99953747,0.99165946,phase1/10x_tiles/17-3_UTSW_temporal_6E10/0/18/1.jpg,[992 1171 256 256],0,NP4,0,1,0,0,0,0
91,phase1/blobs/17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_14_13_0.jpg,NA (prediction),0.9993612,0.98351014,8.0648315e-05,phase1/10x_tiles/17-3_UTSW_temporal_6E10/0/14/13.jpg,[0 0 256 256],0,NP4,0,1,0,0,1,1
92,phase1/blobs/NA21UCDtemporalgyri _4G8/NA21UCDtemporalgyri _4G8_15_9_37.jpg,NP4,1.0,0.0,0.0,phase1/10x_tiles/NA21UCDtemporalgyri _4G8/0/15/9.jpg,[ 299 1015  256  256],270,None (label),1,0,0,0,1,0
93,phase1/blobs/cw18-48/cw18-48_29_34_25.jpg,NA (prediction),0.0064903507,0.0074998259999999985,0.76661795,phase1/10x_tiles/cw18-48/0/29/34.jpg,[118 75 256 256],0,NP4,0,0,0,1,0,0
94,phase1/blobs/cw17-11/cw17-11_20_15_29.jpg,consensus_of_2,0.0,4.0,3.0,phase1/10x_tiles/cw17-11/0/20/15.jpg,[1131 1280  256  256],180,None (label),0,1,1,0,1,0
95,phase1/blobs/NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_8_25_35.jpg,NA (prediction),1.6207457e-06,0.00012498378,0.9999529,phase1/10x_tiles/NA23UCDtemporalgyri _4G8/0/8/25.jpg,[0 722 256 256],0,consensus_of_2,0,0,1,0,1,0
96,phase1/blobs/cw13-0/cw13-0_5_25_56.jpg,NA (prediction),0.008346298,0.004513665,0.9362948,phase1/10x_tiles/cw13-0/0/5/25.jpg,[751 1280 256 256],0,NP4,0,0,0,1,0,0
97,phase1/blobs/NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_8_5_34.jpg,NA (prediction),0.90453666,0.98765844,2.2290759e-07,phase1/10x_tiles/NA37UCDtemporalgyri _4G8/0/8/5.jpg,[501 366 256 256],0,consensus_of_2,0,1,0,0,1,0
98,phase1/blobs/40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_5_17_6.jpg,NA (prediction),0.9229333,0.95846003,6.980724000000001e-05,phase1/10x_tiles/40-3_UTSW_temporal_6E10/0/5/17.jpg,[1280 1280 256 256],0,NP4,0,1,0,0,1,0
99,phase1/blobs/25-3_UTSW_temporal_6E10/25-3_UTSW_temporal_6E10_22_11_3.jpg,NP4,1.0,0.0,0.0,phase1/10x_tiles/25-3_UTSW_temporal_6E10/0/22/11.jpg,[844 210 256 256],90,None (label),0,1,0,0,1,0
