,Unnamed: 0,username,timestamp,imagename,cored,diffuse,CAA,negative,flag,notsure
70,70,UG1,2019-03-05 19:58:43,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_53.jpg,0,1,0,0,0,0
71,71,UG1,2019-02-19 21:54:07,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_54.jpg,0,1,0,0,0,0
72,72,UG1,2019-02-20 20:47:45,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_7.jpg,0,1,0,0,0,0
73,73,UG1,2019-03-05 20:23:02,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_8.jpg,0,1,0,0,0,0
74,74,UG1,2019-02-20 20:29:35,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_9.jpg,0,0,0,0,0,1
75,75,UG1,2019-03-07 19:00:42,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_1.jpg,0,1,0,0,0,0
76,76,UG1,2019-03-05 20:09:19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_12.jpg,0,1,0,0,0,0
77,77,UG1,2019-01-31 23:22:53,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_13.jpg,0,0,1,0,0,0
78,78,UG1,2019-03-06 20:49:26,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_14.jpg,0,1,0,0,0,0
79,79,UG1,2019-03-05 20:41:45,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_15.jpg,0,1,0,0,0,0
80,80,UG1,2019-02-20 22:16:36,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_18.jpg,0,1,0,0,0,0
81,81,UG1,2019-02-26 22:26:16,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_19.jpg,0,0,0,0,0,1
82,82,UG1,2019-02-03 21:59:59,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_20.jpg,0,1,0,0,0,0
83,83,UG1,2019-02-27 17:37:27,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_21.jpg,0,1,0,0,0,0
84,84,UG1,2019-03-05 19:34:00,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_22.jpg,0,1,0,0,0,0
85,85,UG1,2019-03-05 19:35:21,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_23.jpg,0,0,1,0,0,0
86,86,UG1,2019-03-06 21:08:56,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_24.jpg,0,1,0,0,0,0
87,87,UG1,2019-02-26 22:22:53,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_25.jpg,0,1,0,0,0,0
88,88,UG1,2019-01-30 19:20:42,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_26.jpg,0,1,0,0,0,0
89,89,UG1,2019-02-20 22:19:35,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_27.jpg,0,1,0,0,0,0
90,90,UG1,2019-01-30 20:24:14,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_28.jpg,0,1,0,0,0,0
91,91,UG1,2019-02-04 22:49:13,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_3.jpg,0,1,0,0,0,0
92,92,UG1,2019-03-05 19:32:39,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_30.jpg,0,1,0,0,0,0
93,93,UG1,2019-02-20 22:06:40,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_6.jpg,0,1,0,0,0,0
94,94,UG1,2019-02-19 21:48:18,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_7.jpg,0,1,0,0,0,0
95,95,UG1,2019-02-04 22:35:46,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_8.jpg,1,0,0,0,0,0
96,96,UG1,2019-02-20 22:26:43,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_19_9.jpg,0,1,0,0,0,0
97,97,UG1,2019-02-20 20:52:27,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_28_0.jpg,0,1,0,0,0,0
98,98,UG1,2019-03-07 18:56:32,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_28_1.jpg,0,1,0,0,0,0
99,99,UG1,2019-02-19 20:43:48,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_28_4.jpg,0,1,0,0,0,0
100,100,UG1,2019-02-19 21:41:08,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_6_0.jpg,0,1,0,0,0,0
101,101,UG1,2019-03-06 21:35:09,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_6_10.jpg,0,1,0,0,0,0
102,102,UG1,2019-02-26 22:56:41,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_6_6.jpg,0,1,0,0,0,0
103,103,UG1,2019-02-19 20:46:23,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_6_8.jpg,0,0,1,0,0,0
104,104,UG1,2019-02-27 17:36:49,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_0.jpg,0,1,0,0,0,0
105,105,UG1,2019-03-06 21:19:48,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_1.jpg,0,1,0,0,0,0
106,106,UG1,2019-03-05 20:39:02,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_11.jpg,0,1,0,0,0,0
107,107,UG1,2019-02-19 21:56:03,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_12.jpg,0,1,0,0,0,0
108,108,UG1,2019-03-05 19:37:16,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_13.jpg,0,1,0,0,0,0
109,109,UG1,2019-02-26 22:35:52,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_14.jpg,0,1,0,0,0,0
110,110,UG1,2019-03-05 20:39:09,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_15.jpg,0,1,0,0,0,0
111,111,UG1,2019-03-07 19:02:26,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_16.jpg,0,1,0,0,0,0
112,112,UG1,2019-02-04 22:29:39,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_18.jpg,1,0,0,0,0,0
113,113,UG1,2019-02-04 23:01:10,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_2.jpg,0,1,0,0,0,0
114,114,UG1,2019-01-31 23:11:00,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_20.jpg,0,1,0,0,0,0
115,115,UG1,2019-02-04 23:04:20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_23.jpg,0,1,0,0,0,0
116,116,UG1,2019-02-19 21:42:03,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_26.jpg,0,1,0,0,0,0
117,117,UG1,2019-02-26 22:42:01,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_27.jpg,0,1,0,0,0,0
118,118,UG1,2019-02-19 21:10:25,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_29.jpg,0,1,0,0,0,0
119,119,UG1,2019-02-20 20:53:47,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_3.jpg,0,1,0,0,0,0
120,120,UG1,2019-02-03 21:54:55,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_30.jpg,0,1,0,0,0,0
121,121,UG1,2019-03-05 20:05:00,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_31.jpg,0,1,0,0,0,0
122,122,UG1,2019-02-27 17:35:33,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_32.jpg,0,1,0,0,0,0
123,123,UG1,2019-03-05 19:33:41,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_33.jpg,0,1,0,0,0,0
124,124,UG1,2019-02-03 22:11:39,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_34.jpg,0,1,0,0,0,0
125,125,UG1,2019-03-06 21:18:31,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_35.jpg,0,1,0,0,0,0
126,126,UG1,2019-02-20 22:08:38,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_37.jpg,0,1,0,0,0,0
127,127,UG1,2019-02-19 21:17:16,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_39.jpg,0,1,0,0,0,0
128,128,UG1,2019-02-20 22:06:43,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_41.jpg,0,1,0,0,0,0
129,129,UG1,2019-02-20 20:24:04,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_44.jpg,0,1,0,0,0,0
130,130,UG1,2019-03-05 19:57:22,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_46.jpg,0,1,0,0,0,0
131,131,UG1,2019-02-19 21:49:38,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_47.jpg,0,1,0,0,0,0
132,132,UG1,2019-03-06 21:02:46,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_48.jpg,0,1,0,0,0,0
133,133,UG1,2019-02-26 22:37:57,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_49.jpg,0,1,0,0,0,0
134,134,UG1,2019-03-05 19:59:57,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_50.jpg,0,1,0,0,0,0
135,135,UG1,2019-03-07 19:10:48,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_51.jpg,0,1,0,0,0,0
136,136,UG1,2019-03-07 18:51:37,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_22_7.jpg,0,1,0,0,0,0
137,137,UG1,2019-03-05 20:38:47,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_0.jpg,0,1,0,0,0,0
138,138,UG1,2019-03-06 20:41:47,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_1.jpg,0,1,0,0,0,0
139,139,UG1,2019-02-19 20:43:45,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_10.jpg,0,1,0,0,0,0
140,140,UG1,2019-02-20 20:37:00,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_11.jpg,0,1,0,0,0,0
141,141,UG1,2019-03-05 20:38:08,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_12.jpg,0,1,0,0,0,0
142,142,UG1,2019-03-05 19:27:33,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_13.jpg,0,1,0,0,0,0
143,143,UG1,2019-01-31 23:14:58,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_16.jpg,0,1,0,0,0,0
144,144,UG1,2019-03-05 20:43:14,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_19.jpg,0,1,0,0,0,0
145,145,UG1,2019-01-31 23:17:16,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_2.jpg,0,1,0,0,0,0
146,146,UG1,2019-02-20 22:24:49,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_20.jpg,0,1,0,0,0,0
147,147,UG1,2019-02-20 22:12:26,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_22.jpg,0,1,0,0,0,0
148,148,UG1,2019-03-07 19:03:29,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_24.jpg,0,1,0,0,0,0
149,149,UG1,2019-03-05 20:35:45,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_25.jpg,0,1,0,0,0,0
150,150,UG1,2019-02-27 17:31:10,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_26.jpg,0,1,0,0,0,0
151,151,UG1,2019-01-30 19:08:05,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_27.jpg,0,1,0,0,0,0
152,152,UG1,2019-02-19 21:18:09,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_29.jpg,0,1,0,0,0,0
153,153,UG1,2019-03-06 20:37:53,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_3.jpg,0,1,0,0,0,0
154,154,UG1,2019-03-07 18:50:29,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_30.jpg,0,1,0,0,0,0
155,155,UG1,2019-02-26 23:04:11,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_31.jpg,0,1,0,0,0,0
156,156,UG1,2019-02-19 20:51:48,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_32.jpg,0,1,0,0,0,0
157,157,UG1,2019-03-05 20:37:54,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_34.jpg,0,1,0,0,0,0
158,158,UG1,2019-02-04 21:04:48,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_35.jpg,0,1,0,0,0,0
159,159,UG1,2019-02-27 17:31:28,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_37.jpg,0,1,0,0,0,0
160,160,UG1,2019-02-03 22:04:48,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_39.jpg,1,0,0,0,0,0
161,161,UG1,2019-03-07 18:54:15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_4.jpg,0,1,0,0,0,0
162,162,UG1,2019-01-30 19:16:28,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_43.jpg,0,1,0,0,0,0
163,163,UG1,2019-02-04 22:40:34,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_45.jpg,0,1,0,0,0,0
164,164,UG1,2019-03-06 21:35:23,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_46.jpg,0,1,0,0,0,0
165,165,UG1,2019-02-26 22:30:15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_49.jpg,0,0,0,0,0,1
166,166,UG1,2019-03-06 20:40:39,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_50.jpg,0,1,0,0,0,0
167,167,UG1,2019-03-05 20:38:24,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_51.jpg,0,0,1,0,0,0
168,168,UG1,2019-02-26 22:24:20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_54.jpg,0,1,0,0,0,0
169,169,UG1,2019-01-31 23:13:28,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_6.jpg,0,1,0,0,0,0
170,170,UG1,2019-02-27 17:35:36,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_23_8.jpg,0,1,0,0,0,0
171,171,UG1,2019-01-31 23:32:31,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_7_2.jpg,0,0,0,0,0,1
172,172,UG1,2019-03-07 18:56:06,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_7_4.jpg,0,1,0,0,0,0
173,173,UG1,2019-03-05 20:00:13,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_7_7.jpg,0,1,0,0,0,0
174,174,UG1,2019-01-30 20:34:26,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_7_8.jpg,1,0,0,0,0,0
175,175,UG1,2019-02-20 20:49:04,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_8_0.jpg,0,1,0,0,0,0
176,176,UG1,2019-03-06 21:12:22,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_8_13.jpg,0,1,0,0,0,0
177,177,UG1,2019-03-05 19:59:34,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_8_14.jpg,0,1,0,0,0,0
178,178,UG1,2019-02-04 23:03:53,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_8_15.jpg,0,1,0,0,0,0
179,179,UG1,2019-03-05 19:35:27,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_12_8_17.jpg,0,1,0,0,0,0
