,tilename,username,cored,diffuse,CAA,10xfields,coords,prediction_model,cored annotation,diffuse annotation,CAA annotation,negative annotation,flag annotation,notsure annotation
10,cw13-0/cw13-0_22_35_1.jpg,NA (prediction),0.00011532277,0.011232861,0.49157885,cw13-0/0/22/35.jpg,"[1238, 316, 256, 256]",NP2,0,0,0,1,0,0
11,cw15-29/cw15-29_1_32_5.jpg,NA (prediction),0.77106255,0.01037826,0.5914318000000001,cw15-29/0/1/32.jpg,"[223, 471, 256, 256]",consensus_of_2,0,0,0,1,0,0
12,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_18_10_5.jpg,NA (prediction),0.001630909,0.6479686,0.5774491,NA37UCDtemporalgyri _4G8/0/18/10.jpg,"[1158, 75, 256, 256]",consensus_of_2,0,1,0,0,0,0
13,cw15-12/cw15-12_28_41_55.jpg,NA (prediction),7.0728066e-07,3.593675e-05,0.92559516,cw15-12/0/28/41.jpg,"[595, 0, 256, 256]",NP2,0,0,0,1,0,0
14,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_16_10_24.jpg,NA (prediction),0.7610979,0.972934,2.209269e-07,NA37UCDtemporalgyri _4G8/0/16/10.jpg,"[1280, 1197, 256, 256]",NP2,0,1,0,0,0,0
15,phase1/blobs/cw17-41/cw17-41_23_28_53.jpg,consensus_of_2,0.0,1.0,5.0,phase1/10x_tiles/cw17-41/0/23/28.jpg,[1246 1271  256  256],None (label),0,1,1,0,1,0
16,phase1/blobs/cw17-34/cw17-34_23_31_2.jpg,consensus_of_2,5.0,0.0,0.0,phase1/10x_tiles/cw17-34/0/23/31.jpg,[370   0 256 256],None (label),1,0,0,0,0,0
17,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_21_26_8.jpg,NA (prediction),0.0034282971000000003,0.053380124,0.9749448000000001,NA15UCDtemporalgyri _4G8/0/21/26.jpg,"[523, 236, 256, 256]",consensus_of_2,0,0,0,1,0,0
18,phase1/blobs/cw18-18/cw18-18_22_6_5.jpg,NP2,0.0,1.0,0.0,phase1/10x_tiles/cw18-18/0/22/6.jpg,[  0  62 256 256],None (label),0,1,0,0,0,0
19,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_3_21_17.jpg,NA (prediction),0.9747465,0.114692695,9.949383e-06,NA23UCDtemporalgyri _4G8/0/3/21.jpg,"[453, 1092, 256, 256]",NP2,1,0,0,0,0,0
20,phase1/blobs/cw17-11/cw17-11_16_33_35.jpg,NP2,0.0,0.0,1.0,phase1/10x_tiles/cw17-11/0/16/33.jpg,[ 965 1280  256  256],None (label),0,0,1,0,0,0
21,phase1/blobs/cw17-3/cw17-3_9_11_21.jpg,consensus_of_2,0.0,0.0,5.0,phase1/10x_tiles/cw17-3/0/9/11.jpg,[ 947 1015  256  256],None (label),0,0,1,0,0,0
22,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_12_40.jpg,NA (prediction),0.8588309000000001,0.50035256,6.674281e-05,17-3_UTSW_temporal_6E10/0/10/12.jpg,"[12, 1105, 256, 256]",NP2,0,1,0,0,0,0
23,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_16_9_18.jpg,NA (prediction),0.94161355,0.10037368,2.1213684e-06,NA27UCDtemporalgyri _4G8/0/16/9.jpg,"[849, 501, 256, 256]",NP2,1,0,0,0,0,0
24,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_6_11_21.jpg,NA (prediction),0.95591813,0.5122167000000001,2.5452331e-07,NA37UCDtemporalgyri _4G8/0/6/11.jpg,"[128, 1104, 256, 256]",NP2,0,1,0,0,0,0
25,phase1/blobs/13-3_UTSW_temporal_6E10/13-3_UTSW_temporal_6E10_15_23_13.jpg,consensus_of_2,4.0,0.0,0.0,phase1/10x_tiles/13-3_UTSW_temporal_6E10/0/15/23.jpg,[840 864 256 256],None (label),1,0,0,0,0,0
26,phase1/blobs/cw17-41/cw17-41_23_28_35.jpg,consensus_of_2,1.0,4.0,0.0,phase1/10x_tiles/cw17-41/0/23/28.jpg,[1239  834  256  256],None (label),0,1,0,0,0,0
27,phase1/blobs/cw17-41/cw17-41_11_17_8.jpg,NP2,0.0,1.0,0.0,phase1/10x_tiles/cw17-41/0/11/17.jpg,[  0  84 256 256],None (label),0,1,0,0,0,0
28,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_27_16_21.jpg,NA (prediction),0.9882244000000001,0.17883652,0.3577546,NA28UCDtemporalgyri _4G8/0/27/16.jpg,"[843, 123, 256, 256]",consensus_of_2,0,0,0,0,0,1
29,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_8_9_14.jpg,NA (prediction),0.9931960999999999,0.58150005,4.7064192999999997e-05,NA37UCDtemporalgyri _4G8/0/8/9.jpg,"[853, 258, 256, 256]",consensus_of_2,1,0,0,0,0,0
30,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_1_20_15.jpg,NA (prediction),0.99860877,0.17308479999999998,3.8419472000000006e-08,NA37UCDtemporalgyri _4G8/0/1/20.jpg,"[798, 965, 256, 256]",NP2,0,1,0,0,0,0
31,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_7_22_81.jpg,NA (prediction),0.8711416999999999,0.9221222,1.8570427e-09,NA27UCDtemporalgyri _4G8/0/7/22.jpg,"[1095, 194, 256, 256]",NP2,0,1,0,0,0,0
32,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_20_36_2.jpg,NA (prediction),0.98412836,0.106325865,0.00022159907000000002,NA28UCDtemporalgyri _4G8/0/20/36.jpg,"[472, 699, 256, 256]",NP2,0,0,0,0,0,1
33,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_5_21_22.jpg,NA (prediction),0.41311166,0.8785226999999999,0.00020031368000000005,NA37UCDtemporalgyri _4G8/0/5/21.jpg,"[1280, 416, 256, 256]",NP2,0,1,0,0,0,0
34,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_14_22_20.jpg,NA (prediction),0.50532717,0.97173834,1.9933334e-05,NA37UCDtemporalgyri _4G8/0/14/22.jpg,"[191, 1162, 256, 256]",NP2,0,1,0,0,0,0
35,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_14_2_9.jpg,NA (prediction),0.83881813,0.45145324,0.00020807724,NA37UCDtemporalgyri _4G8/0/14/2.jpg,"[842, 213, 256, 256]",NP2,0,1,0,0,0,0
36,cw15-12/cw15-12_28_37_62.jpg,NA (prediction),0.0011299283,0.26538804,0.017977454,cw15-12/0/28/37.jpg,"[1096, 877, 256, 256]",consensus_of_2,0,0,0,1,0,0
37,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_4_17_10.jpg,NA (prediction),0.99759054,0.8594886999999999,0.00016681605,17-3_UTSW_temporal_6E10/0/4/17.jpg,"[1220, 360, 256, 256]",consensus_of_2,1,0,0,0,0,0
38,phase1/blobs/cw17-32/cw17-32_28_8_0.jpg,NP2,1.0,0.0,0.0,phase1/10x_tiles/cw17-32/0/28/8.jpg,[137   0 256 256],None (label),0,1,0,0,0,0
39,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_3_18_17.jpg,NA (prediction),0.7793850999999999,0.5588666999999999,3.5171820000000007e-06,NA37UCDtemporalgyri _4G8/0/3/18.jpg,"[74, 638, 256, 256]",NP2,0,1,0,0,0,0
40,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_19_31_50.jpg,NA (prediction),3.1825366e-05,0.0028852387,0.9999442,NA28UCDtemporalgyri _4G8/0/19/31.jpg,"[1060, 0, 256, 256]",consensus_of_2,0,0,0,0,0,1
41,cw18-48/cw18-48_27_34_9.jpg,NA (prediction),0.9525004000000001,0.46980348,0.0057821404,cw18-48/0/27/34.jpg,"[0, 36, 256, 256]",consensus_of_2,0,0,0,1,0,0
42,phase1/blobs/cw17-11/cw17-11_12_24_16.jpg,consensus_of_2,0.0,0.0,5.0,phase1/10x_tiles/cw17-11/0/12/24.jpg,[252 653 256 256],None (label),0,0,1,0,0,0
43,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_8_30_38.jpg,NA (prediction),0.99775463,0.9835286,4.308766599999998e-06,NA28UCDtemporalgyri _4G8/0/8/30.jpg,"[1136, 1280, 256, 256]",consensus_of_2,0,0,0,0,0,1
44,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_12_22_67.jpg,NA (prediction),0.90105486,0.9625383,3.7938964e-05,NA28UCDtemporalgyri _4G8/0/12/22.jpg,"[621, 1242, 256, 256]",consensus_of_2,1,0,0,0,0,0
45,phase1/blobs/NA49UCDtemporalgyri _4G8/NA49UCDtemporalgyri _4G8_20_10_5.jpg,consensus_of_2,5.0,0.0,0.0,phase1/10x_tiles/NA49UCDtemporalgyri _4G8/0/20/10.jpg,[776   0 256 256],None (label),1,0,0,0,0,0
46,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_9_11_28.jpg,NA (prediction),0.922271,0.29963979999999996,8.792334e-06,40-3_UTSW_temporal_6E10/0/9/11.jpg,"[26, 843, 256, 256]",NP2,1,0,0,0,0,0
47,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_23_19_28.jpg,NA (prediction),0.033704136,0.23053774,0.96892166,NA27UCDtemporalgyri _4G8/0/23/19.jpg,"[475, 631, 256, 256]",consensus_of_2,0,0,0,1,0,0
48,phase1/blobs/NA22UCDtemporalgyri _4G8/NA22UCDtemporalgyri _4G8_7_23_6.jpg,NP2,1.0,0.0,0.0,phase1/10x_tiles/NA22UCDtemporalgyri _4G8/0/7/23.jpg,[682 704 256 256],None (label),1,0,0,0,0,0
49,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_21_26_18.jpg,NA (prediction),9.626745e-06,0.00011706393,0.9975948,NA15UCDtemporalgyri _4G8/0/21/26.jpg,"[593, 724, 256, 256]",consensus_of_2,0,0,0,0,0,1
50,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_7_24_4.jpg,NA (prediction),0.0028289144000000002,0.0005699244999999999,0.9999870000000001,8-3_UTSW_temporal_6E10/0/7/24.jpg,"[506, 108, 256, 256]",consensus_of_2,0,0,0,0,0,1
51,phase1/blobs/cw18-10/cw18-10_17_17_50.jpg,NP2,1.0,0.0,0.0,phase1/10x_tiles/cw18-10/0/17/17.jpg,[ 170 1258  256  256],None (label),0,1,0,0,0,0
52,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_4_25_67.jpg,NA (prediction),0.9740918,0.7713098,5.5242845e-07,NA37UCDtemporalgyri _4G8/0/4/25.jpg,"[833, 1280, 256, 256]",NP2,1,0,0,0,0,0
53,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_28_13_27.jpg,consensus_of_2,0.0,0.0,3.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/28/13.jpg,[395 698 256 256],None (label),0,0,0,1,0,0
54,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_8_31_28.jpg,consensus_of_2,0.0,0.0,5.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/8/31.jpg,[1053    0  256  256],None (label),0,0,1,0,0,0
55,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_24_37_16.jpg,NA (prediction),0.86292946,0.73368317,0.00024994285,NA28UCDtemporalgyri _4G8/0/24/37.jpg,"[1280, 1094, 256, 256]",NP2,1,0,0,0,0,0
56,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_13_16_29.jpg,NA (prediction),0.85577893,0.8423219999999999,0.00036927667999999997,NA37UCDtemporalgyri _4G8/0/13/16.jpg,"[792, 940, 256, 256]",NP2,0,1,0,0,0,0
57,phase1/blobs/NA35UCDtemporalgyri _4G8/NA35UCDtemporalgyri _4G8_12_30_41.jpg,NP2,0.0,1.0,0.0,phase1/10x_tiles/NA35UCDtemporalgyri _4G8/0/12/30.jpg,[167  84 256 256],None (label),0,1,0,0,0,0
58,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_6_31_73.jpg,NA (prediction),0.020900764,0.8986700999999999,0.0013661562,NA28UCDtemporalgyri _4G8/0/6/31.jpg,"[366, 778, 256, 256]",NP2,0,1,0,0,0,0
59,phase1/blobs/NA16UCDtemporalgyri _4G8/NA16UCDtemporalgyri _4G8_17_31_19.jpg,consensus_of_2,3.0,2.0,0.0,phase1/10x_tiles/NA16UCDtemporalgyri _4G8/0/17/31.jpg,[431 953 256 256],None (label),0,1,0,0,0,0
60,phase1/blobs/cw17-3/cw17-3_6_34_12.jpg,consensus_of_2,0.0,0.0,5.0,phase1/10x_tiles/cw17-3/0/6/34.jpg,[ 544 1221  256  256],None (label),0,0,0,0,1,1
61,cw15-29/cw15-29_4_41_5.jpg,NA (prediction),0.022352556000000003,0.35861552,0.08459929,cw15-29/0/4/41.jpg,"[661, 188, 256, 256]",NP2,0,0,0,1,0,0
62,phase1/blobs/44-3_UTSW_temporal_6E10/44-3_UTSW_temporal_6E10_18_13_17.jpg,NP2,0.0,1.0,0.0,phase1/10x_tiles/44-3_UTSW_temporal_6E10/0/18/13.jpg,[248 479 256 256],None (label),0,1,0,0,0,0
63,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_24_37_22.jpg,NA (prediction),0.9074322,0.55715454,3.1529293e-05,NA28UCDtemporalgyri _4G8/0/24/37.jpg,"[1280, 1240, 256, 256]",NP2,1,0,0,0,0,0
64,phase1/blobs/cw18-2/cw18-2_6_2_0.jpg,consensus_of_2,0.0,0.0,4.0,phase1/10x_tiles/cw18-2/0/6/2.jpg,[  0 945 256 256],None (label),0,0,0,0,1,1
65,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_16_18_5.jpg,NA (prediction),0.9153174999999999,0.5444925,1.9642968e-05,NA15UCDtemporalgyri _4G8/0/16/18.jpg,"[1280, 423, 256, 256]",NP2,0,0,0,0,1,0
66,phase1/blobs/NA16UCDtemporalgyri _4G8/NA16UCDtemporalgyri _4G8_21_12_11.jpg,NP2,1.0,0.0,0.0,phase1/10x_tiles/NA16UCDtemporalgyri _4G8/0/21/12.jpg,[  0 306 256 256],None (label),1,0,0,0,0,0
67,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_12_12_0.jpg,NA (prediction),4.235031e-05,0.00018346311000000002,0.9999979999999999,NA15UCDtemporalgyri _4G8/0/12/12.jpg,"[1280, 0, 256, 256]",consensus_of_2,0,0,0,0,0,1
68,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_15_21_3.jpg,NA (prediction),0.78516823,0.9649121999999999,0.0007289608999999999,NA37UCDtemporalgyri _4G8/0/15/21.jpg,"[1196, 0, 256, 256]",NP2,0,1,0,0,0,0
69,cw15-12/cw15-12_27_41_5.jpg,NA (prediction),0.00042068167000000004,3.549754000000001e-05,0.97288597,cw15-12/0/27/41.jpg,"[1171, 1280, 256, 256]",consensus_of_2,0,0,0,1,0,0
70,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_10_13_6.jpg,NA (prediction),0.013803068,0.85525614,4.910216e-08,NA15UCDtemporalgyri _4G8/0/10/13.jpg,"[728, 91, 256, 256]",NP2,0,1,0,0,0,0
71,phase1/blobs/NA49UCDtemporalgyri _4G8/NA49UCDtemporalgyri _4G8_17_29_6.jpg,consensus_of_2,0.0,5.0,0.0,phase1/10x_tiles/NA49UCDtemporalgyri _4G8/0/17/29.jpg,[1076   45  256  256],None (label),0,1,0,0,0,0
72,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_18_40_21.jpg,NA (prediction),0.91873187,0.08750128,2.2386359999999998e-06,NA28UCDtemporalgyri _4G8/0/18/40.jpg,"[482, 978, 256, 256]",NP2,0,1,0,0,0,0
73,cw15-12/cw15-12_16_14_6.jpg,NA (prediction),9.755075999999999e-08,1.9260659e-05,0.71494955,cw15-12/0/16/14.jpg,"[1213, 1035, 256, 256]",NP2,0,0,0,1,0,0
74,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_14_23_26.jpg,NA (prediction),0.9999825000000001,0.21803273,1.3287776000000004e-08,17-3_UTSW_temporal_6E10/0/14/23.jpg,"[1193, 736, 256, 256]",consensus_of_2,1,0,0,0,0,0
75,phase1/blobs/NA46UCDtemporalgyri _4G8/NA46UCDtemporalgyri _4G8_28_22_9.jpg,consensus_of_2,0.0,4.0,0.0,phase1/10x_tiles/NA46UCDtemporalgyri _4G8/0/28/22.jpg,[497 809 256 256],None (label),0,1,0,0,0,0
76,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_8_19_52.jpg,NA (prediction),0.9526341,0.8768988000000001,2.2888141000000003e-06,NA28UCDtemporalgyri _4G8/0/8/19.jpg,"[1208, 1280, 256, 256]",NP2,0,1,0,0,0,0
77,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_12_27_30.jpg,NA (prediction),0.96510315,0.7324098000000001,0.00046923695,40-3_UTSW_temporal_6E10/0/12/27.jpg,"[21, 1280, 256, 256]",NP2,1,0,0,0,0,0
78,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_25_13_0.jpg,NA (prediction),0.9220004999999999,0.00035752216,0.5357593,NA28UCDtemporalgyri _4G8/0/25/13.jpg,"[802, 0, 256, 256]",consensus_of_2,0,0,0,1,0,0
79,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_9_26_38.jpg,NA (prediction),0.61068004,0.58303463,1.6404513e-07,NA28UCDtemporalgyri _4G8/0/9/26.jpg,"[468, 916, 256, 256]",NP2,0,1,0,0,0,0
80,phase1/blobs/cw17-34/cw17-34_2_10_66.jpg,NP2,1.0,0.0,0.0,phase1/10x_tiles/cw17-34/0/2/10.jpg,[1023 1038  256  256],None (label),0,1,0,0,0,0
81,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_18_7_17.jpg,NA (prediction),7.4924083e-06,0.0008147582400000001,0.99913836,NA28UCDtemporalgyri _4G8/0/18/7.jpg,"[11, 1233, 256, 256]",NP2,0,0,0,1,0,0
82,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_3_15_15.jpg,NA (prediction),0.0018883646,0.041015662,0.9917749,NA15UCDtemporalgyri _4G8/0/3/15.jpg,"[1079, 1245, 256, 256]",consensus_of_2,0,0,0,1,0,0
83,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_13_22_5.jpg,NA (prediction),0.23410885,0.98087156,0.0013545775,NA28UCDtemporalgyri _4G8/0/13/22.jpg,"[693, 0, 256, 256]",consensus_of_2,0,0,0,1,0,0
84,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_7_28_5.jpg,NA (prediction),4.253557199999999e-07,0.00017912153000000002,0.88997793,NA23UCDtemporalgyri _4G8/0/7/28.jpg,"[1270, 126, 256, 256]",NP2,0,0,0,1,0,0
85,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_16_18_24.jpg,NA (prediction),0.2866184,0.9995851,0.00021712293999999997,17-3_UTSW_temporal_6E10/0/16/18.jpg,"[914, 1190, 256, 256]",consensus_of_2,0,1,0,0,0,0
86,phase1/blobs/25-3_UTSW_temporal_6E10/25-3_UTSW_temporal_6E10_8_11_74.jpg,NP2,1.0,0.0,0.0,phase1/10x_tiles/25-3_UTSW_temporal_6E10/0/8/11.jpg,[ 263 1270  256  256],None (label),1,1,0,0,1,0
87,phase1/blobs/NA22UCDtemporalgyri _4G8/NA22UCDtemporalgyri _4G8_12_31_17.jpg,consensus_of_2,2.0,2.0,0.0,phase1/10x_tiles/NA22UCDtemporalgyri _4G8/0/12/31.jpg,[ 801 1280  256  256],None (label),0,1,0,0,0,0
88,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_17_15_72.jpg,NA (prediction),0.7665930000000001,0.94647545,8.87241e-07,NA27UCDtemporalgyri _4G8/0/17/15.jpg,"[775, 1214, 256, 256]",NP2,0,1,0,0,0,0
89,phase1/blobs/cw18-18/cw18-18_24_21_0.jpg,consensus_of_2,0.0,5.0,0.0,phase1/10x_tiles/cw18-18/0/24/21.jpg,[822  16 256 256],None (label),0,1,0,0,0,0
90,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_7_25_47.jpg,NA (prediction),0.008246492,0.057187247999999996,0.23530225,NA28UCDtemporalgyri _4G8/0/7/25.jpg,"[1044, 1280, 256, 256]",NP2,0,0,0,1,0,0
91,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_5_4_20.jpg,NA (prediction),0.9300169,0.07992563,3.820121e-08,NA37UCDtemporalgyri _4G8/0/5/4.jpg,"[312, 1280, 256, 256]",NP2,1,0,0,0,0,0
92,phase1/blobs/cw18-18/cw18-18_26_9_45.jpg,NP2,1.0,0.0,0.0,phase1/10x_tiles/cw18-18/0/26/9.jpg,[414 925 256 256],None (label),0,1,0,0,0,0
93,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_6_19_23.jpg,NA (prediction),3.8711758e-05,0.0011428996000000002,0.8727123999999999,NA15UCDtemporalgyri _4G8/0/6/19.jpg,"[1009, 1239, 256, 256]",NP2,0,0,0,1,0,0
94,phase1/blobs/cw17-11/cw17-11_20_15_29.jpg,consensus_of_2,0.0,4.0,3.0,phase1/10x_tiles/cw17-11/0/20/15.jpg,[1131 1280  256  256],None (label),0,0,0,0,1,1
95,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_8_25_35.jpg,NA (prediction),1.6207457e-06,0.00012498378,0.9999529,NA23UCDtemporalgyri _4G8/0/8/25.jpg,"[0, 722, 256, 256]",consensus_of_2,0,0,0,0,0,1
96,cw15-29/cw15-29_10_28_16.jpg,NA (prediction),1.1156993e-06,0.0012687263,0.66032916,cw15-29/0/10/28.jpg,"[337, 642, 256, 256]",NP2,0,0,0,1,0,0
97,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_8_5_34.jpg,NA (prediction),0.90453666,0.98765844,2.2290759000000002e-07,NA37UCDtemporalgyri _4G8/0/8/5.jpg,"[501, 366, 256, 256]",consensus_of_2,0,1,0,0,0,0
98,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_16_25_4.jpg,NA (prediction),0.9114594000000001,0.97507656,0.0004937005000000001,NA37UCDtemporalgyri _4G8/0/16/25.jpg,"[1153, 36, 256, 256]",NP2,0,1,0,0,0,0
99,phase1/blobs/cw17-32/cw17-32_17_26_24.jpg,NP2,1.0,0.0,0.0,phase1/10x_tiles/cw17-32/0/17/26.jpg,[648 830 256 256],None (label),0,1,0,0,0,0
100,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_14_4_49.jpg,NA (prediction),0.9034013000000001,0.9092041,6.000569600000001e-06,NA37UCDtemporalgyri _4G8/0/14/4.jpg,"[421, 74, 256, 256]",consensus_of_2,0,1,0,0,0,0
101,phase1/blobs/cw17-3/cw17-3_2_22_44.jpg,consensus_of_2,0.0,0.0,2.0,phase1/10x_tiles/cw17-3/0/2/22.jpg,[ 214 1059  256  256],None (label),0,0,0,1,0,0
102,cw15-12/cw15-12_28_38_0.jpg,NA (prediction),0.060327962,0.0045465394,0.9877401,cw15-12/0/28/38.jpg,"[835, 396, 256, 256]",consensus_of_2,0,0,0,1,0,0
103,cw13-0/cw13-0_12_11_8.jpg,NA (prediction),6.0984425999999994e-06,0.002523424,0.7997962,cw13-0/0/12/11.jpg,"[1280, 217, 256, 256]",NP2,0,0,0,1,0,0
104,phase1/blobs/cw18-33/cw18-33_9_18_4.jpg,consensus_of_2,4.0,1.0,0.0,phase1/10x_tiles/cw18-33/0/9/18.jpg,[1142   43  256  256],None (label),0,0,0,0,1,1
105,phase1/blobs/NA22UCDtemporalgyri _4G8/NA22UCDtemporalgyri _4G8_2_15_12.jpg,NP2,1.0,0.0,0.0,phase1/10x_tiles/NA22UCDtemporalgyri _4G8/0/2/15.jpg,[893 353 256 256],None (label),1,0,0,0,0,0
106,phase1/blobs/cw17-3/cw17-3_13_7_1.jpg,NP2,1.0,0.0,0.0,phase1/10x_tiles/cw17-3/0/13/7.jpg,[ 503 1194  256  256],None (label),1,0,0,0,0,0
107,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_10_10_24.jpg,NA (prediction),0.89662313,0.6643819999999999,1.6915276e-06,NA37UCDtemporalgyri _4G8/0/10/10.jpg,"[910, 517, 256, 256]",NP2,0,1,0,0,0,0
108,cw13-0/cw13-0_17_10_13.jpg,NA (prediction),0.0014199006,0.006466843000000001,0.8799374,cw13-0/0/17/10.jpg,"[325, 517, 256, 256]",consensus_of_2,0,0,0,1,0,0
