,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,tilename,username,cored,diffuse,CAA,10xfields,coords,prediction_model,cored annotation,diffuse annotation,CAA annotation,negative annotation,flag annotation,notsure annotation
29,29,29,29,4319,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_8_9_14.jpg,NA (prediction),0.9931961,0.58150005,4.7064193e-05,NA37UCDtemporalgyri _4G8/0/8/9.jpg,"[853, 258, 256, 256]",consensus_of_2,0,1,0,0,0,0
30,30,30,30,256,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_25_21_10.jpg,NA (prediction),0.9124341,0.5691881999999999,1.2530058000000002e-06,NA27UCDtemporalgyri _4G8/0/25/21.jpg,"[134, 60, 256, 256]",UG2,0,1,0,0,0,0
31,31,31,31,1649,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_14_35_24.jpg,NA (prediction),0.04816326,0.9952933,0.0016337998,8-3_UTSW_temporal_6E10/0/14/35.jpg,"[724, 1026, 256, 256]",UG2,0,1,0,0,0,0
32,32,32,32,105,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_4_23_34.jpg,NA (prediction),0.68647844,0.99148214,0.00021671508,NA37UCDtemporalgyri _4G8/0/4/23.jpg,"[1262, 833, 256, 256]",UG2,0,1,0,0,0,0
33,33,33,33,1118,cw16-36/cw16-36_0_37_5.jpg,NA (prediction),0.93802094,0.11134888,0.0030640243,cw16-36/0/0/37.jpg,"[652, 282, 256, 256]",UG2,0,0,0,1,0,0
34,34,34,34,663,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_14_25_24.jpg,NA (prediction),0.95773953,0.83377874,9.8706514e-05,40-3_UTSW_temporal_6E10/0/14/25.jpg,"[1280, 363, 256, 256]",UG2,1,0,0,0,0,0
35,35,35,35,412,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_15_9_51.jpg,NA (prediction),0.99632865,0.6199654,9.081263e-07,NA28UCDtemporalgyri _4G8/0/15/9.jpg,"[1280, 1231, 256, 256]",UG2,0,1,0,0,0,0
36,36,36,36,5254,cw15-12/cw15-12_28_37_62.jpg,NA (prediction),0.0011299283,0.26538804,0.017977454,cw15-12/0/28/37.jpg,"[1096, 877, 256, 256]",consensus_of_2,0,0,0,1,0,0
37,37,37,37,4758,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_4_17_10.jpg,NA (prediction),0.99759054,0.8594886999999999,0.00016681605,17-3_UTSW_temporal_6E10/0/4/17.jpg,"[1220, 360, 256, 256]",consensus_of_2,0,1,0,0,1,0
38,38,38,38,2970,phase1/blobs/24-3_UTSW_temporal_6E10/24-3_UTSW_temporal_6E10_11_9_35.jpg,UG2,1.0,0.0,0.0,phase1/10x_tiles/24-3_UTSW_temporal_6E10/0/11/9.jpg,[834 693 256 256],None (label),1,0,0,0,0,0
39,39,39,39,675,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_7_28_5.jpg,NA (prediction),0.9994611,0.09844854,6.8682875e-06,NA27UCDtemporalgyri _4G8/0/7/28.jpg,"[0, 0, 256, 256]",UG2,0,1,0,0,0,0
40,40,40,40,5152,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_19_31_50.jpg,NA (prediction),3.1825366e-05,0.0028852387,0.9999442,NA28UCDtemporalgyri _4G8/0/19/31.jpg,"[1060, 0, 256, 256]",consensus_of_2,0,0,1,0,1,0
41,41,41,41,3818,cw18-48/cw18-48_27_34_9.jpg,NA (prediction),0.9525004,0.46980348,0.0057821404,cw18-48/0/27/34.jpg,"[0, 36, 256, 256]",consensus_of_2,0,0,0,1,0,0
42,42,42,42,2582,phase1/blobs/cw17-11/cw17-11_12_24_16.jpg,consensus_of_2,0.0,0.0,5.0,phase1/10x_tiles/cw17-11/0/12/24.jpg,[252 653 256 256],None (label),0,0,1,0,0,0
43,43,43,43,4669,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_8_30_38.jpg,NA (prediction),0.99775463,0.9835286,4.308766599999998e-06,NA28UCDtemporalgyri _4G8/0/8/30.jpg,"[1136, 1280, 256, 256]",consensus_of_2,0,1,0,0,0,0
44,44,44,44,4158,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_12_22_67.jpg,NA (prediction),0.90105486,0.9625383,3.7938964e-05,NA28UCDtemporalgyri _4G8/0/12/22.jpg,"[621, 1242, 256, 256]",consensus_of_2,0,1,0,0,0,0
45,45,45,45,2029,phase1/blobs/NA49UCDtemporalgyri _4G8/NA49UCDtemporalgyri _4G8_20_10_5.jpg,consensus_of_2,5.0,0.0,0.0,phase1/10x_tiles/NA49UCDtemporalgyri _4G8/0/20/10.jpg,[776   0 256 256],None (label),1,0,0,0,0,0
46,46,46,46,669,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_7_2_37.jpg,NA (prediction),0.99941146,0.12194397,2.6422126000000004e-07,40-3_UTSW_temporal_6E10/0/7/2.jpg,"[931, 788, 256, 256]",UG2,1,0,0,0,0,0
47,47,47,47,5600,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_23_19_28.jpg,NA (prediction),0.033704136,0.23053774,0.96892166,NA27UCDtemporalgyri _4G8/0/23/19.jpg,"[475, 631, 256, 256]",consensus_of_2,0,0,0,1,0,0
48,48,48,48,1536,phase1/blobs/NA6UCDtemporalgyri _4G8/NA6UCDtemporalgyri _4G8_10_23_19.jpg,UG2,1.0,0.0,0.0,phase1/10x_tiles/NA6UCDtemporalgyri _4G8/0/10/23.jpg,[691 534 256 256],None (label),1,0,0,0,0,0
49,49,49,49,6313,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_21_26_18.jpg,NA (prediction),9.626745e-06,0.00011706393,0.9975948,NA15UCDtemporalgyri _4G8/0/21/26.jpg,"[593, 724, 256, 256]",consensus_of_2,0,0,1,0,1,0
50,50,50,50,6006,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_7_24_4.jpg,NA (prediction),0.0028289144,0.0005699244999999999,0.999987,8-3_UTSW_temporal_6E10/0/7/24.jpg,"[506, 108, 256, 256]",consensus_of_2,0,0,1,0,1,0
51,51,51,51,303,phase1/blobs/14-3_UTSW_temporal_6E10/14-3_UTSW_temporal_6E10_7_11_21.jpg,UG2,1.0,0.0,0.0,phase1/10x_tiles/14-3_UTSW_temporal_6E10/0/7/11.jpg,[1280  988  256  256],None (label),0,1,0,0,0,0
52,52,52,52,1763,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_15_25_25.jpg,NA (prediction),0.90511286,0.7740779000000001,0.0006461081,17-3_UTSW_temporal_6E10/0/15/25.jpg,"[0, 985, 256, 256]",UG2,0,1,0,0,0,0
53,53,53,53,2465,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_28_13_27.jpg,consensus_of_2,0.0,0.0,3.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/28/13.jpg,[395 698 256 256],None (label),0,0,1,0,1,0
54,54,54,54,1147,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_8_31_28.jpg,consensus_of_2,0.0,0.0,5.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/8/31.jpg,[1053    0  256  256],None (label),0,0,1,0,1,0
55,55,55,55,1442,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_15_24_46.jpg,NA (prediction),0.73846537,0.26809236,0.0002758871,NA27UCDtemporalgyri _4G8/0/15/24.jpg,"[373, 1130, 256, 256]",UG2,0,1,0,0,0,0
56,56,56,56,1093,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_20_32_20.jpg,NA (prediction),0.9678582,0.6885468000000001,9.932941e-05,NA28UCDtemporalgyri _4G8/0/20/32.jpg,"[966, 1280, 256, 256]",UG2,0,1,0,0,0,0
57,57,57,57,483,phase1/blobs/cw18-18/cw18-18_7_38_32.jpg,UG2,0.0,1.0,0.0,phase1/10x_tiles/cw18-18/0/7/38.jpg,[ 358 1094  256  256],None (label),0,1,0,0,0,0
58,58,58,58,636,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_13_28_24.jpg,NA (prediction),0.97863334,0.25654677,8.167892e-05,17-3_UTSW_temporal_6E10/0/13/28.jpg,"[864, 992, 256, 256]",UG2,0,1,0,0,0,0
59,59,59,59,1953,phase1/blobs/NA16UCDtemporalgyri _4G8/NA16UCDtemporalgyri _4G8_17_31_19.jpg,consensus_of_2,3.0,2.0,0.0,phase1/10x_tiles/NA16UCDtemporalgyri _4G8/0/17/31.jpg,[431 953 256 256],None (label),0,1,0,0,0,0
60,60,60,60,3895,phase1/blobs/cw17-3/cw17-3_6_34_12.jpg,consensus_of_2,0.0,0.0,5.0,phase1/10x_tiles/cw17-3/0/6/34.jpg,[ 544 1221  256  256],None (label),0,0,1,0,0,0
61,61,61,61,2349,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_8_30_5.jpg,NA (prediction),0.00011673018,0.00023638316,0.9248542,NA23UCDtemporalgyri _4G8/0/8/30.jpg,"[0, 256, 256, 256]",UG2,0,0,1,0,1,0
62,62,62,62,533,phase1/blobs/cw17-32/cw17-32_21_23_37.jpg,UG2,0.0,1.0,0.0,phase1/10x_tiles/cw17-32/0/21/23.jpg,[481 874 256 256],None (label),0,1,0,0,0,0
63,63,63,63,1443,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_15_24_51.jpg,NA (prediction),0.99253285,0.48859298,1.0173935e-06,NA27UCDtemporalgyri _4G8/0/15/24.jpg,"[416, 1280, 256, 256]",UG2,1,0,0,0,1,0
64,64,64,64,3815,phase1/blobs/cw18-2/cw18-2_6_2_0.jpg,consensus_of_2,0.0,0.0,4.0,phase1/10x_tiles/cw18-2/0/6/2.jpg,[  0 945 256 256],None (label),0,0,1,0,1,0
65,65,65,65,1692,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_12_32_34.jpg,NA (prediction),0.9980685,0.34399655,4.250218e-06,NA28UCDtemporalgyri _4G8/0/12/32.jpg,"[1280, 1244, 256, 256]",UG2,1,0,0,0,0,0
66,66,66,66,1516,phase1/blobs/44-3_UTSW_temporal_6E10/44-3_UTSW_temporal_6E10_15_20_42.jpg,UG2,1.0,0.0,0.0,phase1/10x_tiles/44-3_UTSW_temporal_6E10/0/15/20.jpg,[  0 833 256 256],None (label),0,1,0,0,0,0
67,67,67,67,6470,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_12_12_0.jpg,NA (prediction),4.235031e-05,0.00018346311,0.999998,NA15UCDtemporalgyri _4G8/0/12/12.jpg,"[1280, 0, 256, 256]",consensus_of_2,0,0,1,0,1,0
68,68,68,68,451,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_23_27_0.jpg,NA (prediction),0.92121,0.33783656,0.0007424233500000001,NA28UCDtemporalgyri _4G8/0/23/27.jpg,"[368, 0, 256, 256]",UG2,0,1,0,0,0,0
69,69,69,69,5629,cw15-12/cw15-12_27_41_5.jpg,NA (prediction),0.00042068167,3.549754000000001e-05,0.97288597,cw15-12/0/27/41.jpg,"[1171, 1280, 256, 256]",consensus_of_2,0,0,0,0,0,1
70,70,70,70,234,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_9_23_43.jpg,NA (prediction),0.9948338,0.025474021,3.3395104e-06,40-3_UTSW_temporal_6E10/0/9/23.jpg,"[1043, 1088, 256, 256]",UG2,0,1,0,0,0,0
71,71,71,71,2210,phase1/blobs/NA49UCDtemporalgyri _4G8/NA49UCDtemporalgyri _4G8_17_29_6.jpg,consensus_of_2,0.0,5.0,0.0,phase1/10x_tiles/NA49UCDtemporalgyri _4G8/0/17/29.jpg,[1076   45  256  256],None (label),0,1,0,0,0,0
72,72,72,72,787,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_13_28_65.jpg,NA (prediction),0.9824553,0.023350691,4.9361602999999986e-05,40-3_UTSW_temporal_6E10/0/13/28.jpg,"[809, 1280, 256, 256]",UG2,1,0,0,0,0,0
73,73,73,73,2835,cw15-29/cw15-29_4_11_9.jpg,NA (prediction),0.008705778,0.10568859,0.38778892,cw15-29/0/4/11.jpg,"[202, 92, 256, 256]",UG2,0,0,0,0,0,1
74,74,74,74,4316,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_14_23_26.jpg,NA (prediction),0.9999825,0.21803273,1.3287776000000004e-08,17-3_UTSW_temporal_6E10/0/14/23.jpg,"[1193, 736, 256, 256]",consensus_of_2,1,0,0,0,0,0
75,75,75,75,2273,phase1/blobs/NA46UCDtemporalgyri _4G8/NA46UCDtemporalgyri _4G8_28_22_9.jpg,consensus_of_2,0.0,4.0,0.0,phase1/10x_tiles/NA46UCDtemporalgyri _4G8/0/28/22.jpg,[497 809 256 256],None (label),0,1,0,0,0,0
76,76,76,76,740,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_13_16_1.jpg,NA (prediction),0.9865435,0.0020300809,4.384975e-06,NA15UCDtemporalgyri _4G8/0/13/16.jpg,"[112, 793, 256, 256]",UG2,0,1,0,0,0,0
77,77,77,77,1384,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_5_11_31.jpg,NA (prediction),0.51847976,0.8723469000000001,4.0190557e-06,40-3_UTSW_temporal_6E10/0/5/11.jpg,"[480, 1195, 256, 256]",UG2,0,1,0,0,0,0
78,78,78,78,3488,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_25_13_0.jpg,NA (prediction),0.9220005,0.00035752216,0.5357593,NA28UCDtemporalgyri _4G8/0/25/13.jpg,"[802, 0, 256, 256]",consensus_of_2,0,0,1,0,1,0
79,79,79,79,724,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_15_12_45.jpg,NA (prediction),0.939603,0.980457,1.6231483000000002e-05,17-3_UTSW_temporal_6E10/0/15/12.jpg,"[1280, 927, 256, 256]",UG2,0,1,0,0,0,0
80,80,80,80,3017,phase1/blobs/NA6UCDtemporalgyri _4G8/NA6UCDtemporalgyri _4G8_12_23_1.jpg,UG2,1.0,0.0,0.0,phase1/10x_tiles/NA6UCDtemporalgyri _4G8/0/12/23.jpg,[1155    0  256  256],None (label),1,0,0,0,0,0
81,81,81,81,1877,cw18-48/cw18-48_6_25_20.jpg,NA (prediction),0.00027013227000000003,0.0012299212,0.9849224,cw18-48/0/6/25.jpg,"[833, 417, 256, 256]",UG2,0,0,0,1,0,0
82,82,82,82,5105,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_3_15_15.jpg,NA (prediction),0.0018883646,0.041015662,0.9917749,NA15UCDtemporalgyri _4G8/0/3/15.jpg,"[1079, 1245, 256, 256]",consensus_of_2,0,0,1,0,1,0
83,83,83,83,3640,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_13_22_5.jpg,NA (prediction),0.23410885,0.98087156,0.0013545775,NA28UCDtemporalgyri _4G8/0/13/22.jpg,"[693, 0, 256, 256]",consensus_of_2,0,1,0,0,0,1
84,84,84,84,2551,cw15-12/cw15-12_28_42_12.jpg,NA (prediction),0.00032774452,0.0008485188000000001,0.5716993,cw15-12/0/28/42.jpg,"[505, 136, 256, 256]",UG2,0,0,0,0,0,1
85,85,85,85,4707,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_16_18_24.jpg,NA (prediction),0.2866184,0.9995851,0.00021712294,17-3_UTSW_temporal_6E10/0/16/18.jpg,"[914, 1190, 256, 256]",consensus_of_2,0,1,0,0,0,0
86,86,86,86,1732,phase1/blobs/47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_21_19_46.jpg,UG2,1.0,0.0,0.0,phase1/10x_tiles/47-3_UTSW_temporal_6E10/0/21/19.jpg,[1156  292  256  256],None (label),0,1,0,0,0,0
87,87,87,87,2145,phase1/blobs/NA22UCDtemporalgyri _4G8/NA22UCDtemporalgyri _4G8_12_31_17.jpg,consensus_of_2,2.0,2.0,0.0,phase1/10x_tiles/NA22UCDtemporalgyri _4G8/0/12/31.jpg,[ 801 1280  256  256],None (label),0,0,0,0,0,1
88,88,88,88,298,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_14_11_16.jpg,NA (prediction),0.9917909,0.80187374,8.818567e-06,17-3_UTSW_temporal_6E10/0/14/11.jpg,"[1246, 280, 256, 256]",UG2,0,1,0,0,1,0
89,89,89,89,3724,phase1/blobs/cw18-18/cw18-18_24_21_0.jpg,consensus_of_2,0.0,5.0,0.0,phase1/10x_tiles/cw18-18/0/24/21.jpg,[822  16 256 256],None (label),0,1,0,0,0,0
90,90,90,90,2384,cw15-29/cw15-29_7_31_23.jpg,NA (prediction),0.001008127,0.0027863334000000003,0.48166364,cw15-29/0/7/31.jpg,"[508, 614, 256, 256]",UG2,0,0,0,1,0,0
91,91,91,91,1718,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_13_5_39.jpg,NA (prediction),0.9999219,0.0030945440000000003,1.0694379e-07,NA23UCDtemporalgyri _4G8/0/13/5.jpg,"[539, 1213, 256, 256]",UG2,1,0,0,0,0,0
92,92,92,92,311,phase1/blobs/cw17-34/cw17-34_23_31_11.jpg,UG2,1.0,0.0,0.0,phase1/10x_tiles/cw17-34/0/23/31.jpg,[774 699 256 256],None (label),1,0,0,0,0,0
93,93,93,93,2616,cw15-12/cw15-12_27_33_3.jpg,NA (prediction),0.0009282101,0.012938718,0.90409046,cw15-12/0/27/33.jpg,"[1258, 365, 256, 256]",UG2,0,0,0,1,0,0
94,94,94,94,2473,phase1/blobs/cw17-11/cw17-11_20_15_29.jpg,consensus_of_2,0.0,4.0,3.0,phase1/10x_tiles/cw17-11/0/20/15.jpg,[1131 1280  256  256],None (label),0,0,1,0,1,0
95,95,95,95,5687,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_8_25_35.jpg,NA (prediction),1.6207457e-06,0.00012498378,0.9999529,NA23UCDtemporalgyri _4G8/0/8/25.jpg,"[0, 722, 256, 256]",consensus_of_2,0,0,1,0,1,0
96,96,96,96,2932,cw18-48/cw18-48_15_7_51.jpg,NA (prediction),0.0018304407,0.0007996442,0.78565764,cw18-48/0/15/7.jpg,"[883, 653, 256, 256]",UG2,0,0,0,1,0,0
97,97,97,97,4386,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_8_5_34.jpg,NA (prediction),0.90453666,0.98765844,2.2290759e-07,NA37UCDtemporalgyri _4G8/0/8/5.jpg,"[501, 366, 256, 256]",consensus_of_2,0,1,0,0,0,0
98,98,98,98,377,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_9_7_29.jpg,NA (prediction),0.9991136,0.2792358,3.6987035e-07,40-3_UTSW_temporal_6E10/0/9/7.jpg,"[995, 1201, 256, 256]",UG2,1,0,0,0,0,0
99,99,99,99,1562,phase1/blobs/NA6UCDtemporalgyri _4G8/NA6UCDtemporalgyri _4G8_10_23_33.jpg,UG2,1.0,0.0,0.0,phase1/10x_tiles/NA6UCDtemporalgyri _4G8/0/10/23.jpg,[ 772 1043  256  256],None (label),1,0,0,0,0,0
100,100,100,100,4577,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_14_4_49.jpg,NA (prediction),0.9034013,0.9092041,6.000569600000001e-06,NA37UCDtemporalgyri _4G8/0/14/4.jpg,"[421, 74, 256, 256]",consensus_of_2,0,1,0,0,1,0
101,101,101,101,2447,phase1/blobs/cw17-3/cw17-3_2_22_44.jpg,consensus_of_2,0.0,0.0,2.0,phase1/10x_tiles/cw17-3/0/2/22.jpg,[ 214 1059  256  256],None (label),0,0,0,0,0,1
