,tilename,UG1,UG2,NP1,NP2,NP3,NP4,NP5
10,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_12_22_67.jpg,"(0.6995787024497986, 0.8544467687606812, 0.010566744022071362)","(0.01512223295867443, 0.9959812164306641, 4.539509609458037e-05)","(0.35946348309516907, 0.9806181788444519, 6.247651617741212e-05)","(0.7557445168495178, 0.6152522563934326, 3.0395781891456863e-08)","(0.17761296033859253, 0.9904587268829346, 1.1024330888176337e-05)","(0.29363521933555603, 0.9940709471702576, 0.014688222669064999)","(0.5831500291824341, 0.7868390083312988, 0.004858959931880236)"
11,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_23_19_28.jpg,"(0.012586258351802826, 0.9163632392883301, 0.9854543209075928)","(0.13827376067638397, 0.04178469255566597, 0.11932879686355591)","(0.01364328246563673, 0.8273293375968933, 0.18323777616024017)","(0.0006554338615387678, 0.12860840559005737, 0.3623208999633789)","(0.2641241252422333, 0.949190616607666, 0.6587817668914795)","(0.002143272664397955, 0.9729482531547546, 0.950115978717804)","(0.019917460158467293, 0.7525075674057007, 0.9577521085739136)"
12,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_21_26_18.jpg,"(3.5528964872355573e-06, 3.9614897104911506e-05, 1.0)","(1.1521654741386556e-08, 6.006507192068966e-06, 0.9999854564666748)","(5.559759301831946e-07, 6.26865221420303e-05, 0.9996309280395508)","(5.913515011002346e-08, 5.130395493324613e-06, 0.9392750263214111)","(2.3815189820197702e-08, 1.1501990684337215e-06, 0.9999880790710449)","(5.9959762438666075e-05, 0.002962054219096899, 0.9993816614151001)","(9.289558988712088e-08, 2.7719568606698886e-05, 0.9999985694885254)"
13,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_7_24_4.jpg,"(3.2147017918759957e-06, 0.013459965586662292, 0.9999985694885254)","(2.2192085452843457e-05, 0.019120413810014725, 0.9958494901657104)","(0.0002321751235285774, 0.010844078846275806, 0.9990090131759644)","(4.7440636308238027e-08, 3.642889714683406e-05, 0.9978389143943787)","(0.009281973354518414, 0.41912728548049927, 0.9605583548545837)","(0.0012864761520177126, 0.05553755164146423, 0.9997053742408752)","(2.0397367279656464e-06, 0.0002517802349757403, 0.9999986886978149)"
14,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_12_12_0.jpg,"(0.00012299668742343783, 0.0005265490617603064, 0.9999954700469971)","(4.420125605975045e-06, 3.312151966383681e-05, 0.9995936751365662)","(6.641752747782448e-07, 0.005583363119512796, 0.9951272010803223)","(4.127038977230768e-08, 4.756406997330487e-05, 0.7939849495887756)","(1.1422619081713492e-06, 7.108978365977237e-07, 0.9999998807907104)","(5.228741883911425e-08, 0.00911497138440609, 0.9999996423721313)","(1.6052377759478986e-05, 0.005361273884773254, 0.9997269511222839)"
15,cw15-12/cw15-12_27_41_5.jpg,"(0.0008029841119423509, 0.00021932489471510053, 0.998115062713623)","(1.3575677257904317e-05, 0.0002884911955334246, 0.9949947595596313)","(4.263960818207124e-06, 1.1417184850870399e-06, 0.9988119602203369)","(9.629048669523854e-10, 6.906916496518534e-07, 0.9279504418373108)","(4.012544377474114e-05, 0.004471685737371445, 0.2928462326526642)","(6.705207488266751e-05, 0.0006003063172101974, 0.25413456559181213)","(1.0494132851590621e-07, 1.1275316865066998e-05, 0.9999268054962158)"
16,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_14_23_26.jpg,"(0.9950627684593201, 0.32538795471191406, 0.00045156601117923856)","(0.9990240335464478, 0.17159253358840942, 1.6786793821665924e-07)","(0.9990463852882385, 0.2526063024997711, 7.523184990532172e-07)","(0.993721604347229, 0.3935948312282562, 7.547429413534701e-05)","(0.9963234663009644, 0.2843850553035736, 9.221897698807879e-07)","(0.9998817443847656, 0.5554861426353455, 3.9964419329407974e-07)","(0.9971272349357605, 0.09267085790634155, 2.5969611670007e-06)"
17,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_25_13_0.jpg,"(0.03639833256602287, 0.013293062336742878, 0.994972825050354)","(0.44653716683387756, 0.00524476170539856, 0.03836437314748764)","(0.0019665248692035675, 0.008866894990205765, 0.9119176268577576)","(0.0030620626639574766, 0.01551329530775547, 0.7012778520584106)","(0.002090041758492589, 0.008966210298240185, 0.09101220965385437)","(0.98883455991745, 0.001270894194021821, 0.6052392721176147)","(0.007777356076985598, 0.006090714130550623, 0.8580919504165649)"
18,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_3_15_15.jpg,"(0.010762735269963741, 0.10849841684103012, 0.9991225600242615)","(5.7159020798280835e-05, 0.0002852178586181253, 0.9996941089630127)","(0.0009486357448622584, 0.038222771137952805, 0.8862009644508362)","(5.977558612357825e-05, 0.0012981966137886047, 0.01803966797888279)","(0.0011186320334672928, 0.0017900177044793963, 0.9157586097717285)","(0.02441946044564247, 0.6192359924316406, 0.4936397671699524)","(0.0002479765098541975, 0.0063903676345944405, 0.9195218086242676)"
19,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_13_22_5.jpg,"(0.288634330034256, 0.9940744042396545, 0.000707579602021724)","(0.07013239711523056, 0.7742302417755127, 0.06937161833047867)","(0.24262584745883942, 0.9829004406929016, 0.0006449678330682218)","(0.06294026225805283, 0.3176252245903015, 5.139187351232977e-07)","(0.7067051529884338, 0.4851641356945038, 0.003654331900179386)","(0.12080584466457367, 0.8552610278129578, 0.011107868514955044)","(0.2688576579093933, 0.8616701364517212, 0.0004963419632986188)"
20,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_16_18_24.jpg,"(0.17705194652080536, 0.986874520778656, 0.0030557953286916018)","(0.9182403683662415, 0.5132017135620117, 6.287011729000369e-06)","(0.0686536580324173, 0.9969460368156433, 4.28428829764016e-05)","(0.052949484437704086, 0.9769337773323059, 0.00021186674712225795)","(0.11348240077495575, 0.9912806153297424, 2.643028346938081e-05)","(0.008400595746934414, 0.9999490976333618, 0.014236999675631523)","(0.22192920744419098, 0.9509458541870117, 0.0008251710096374154)"
21,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_8_25_35.jpg,"(4.253856968716718e-05, 0.0003620122151914984, 0.9988596439361572)","(2.2054991166697846e-09, 0.08019864559173584, 0.9887957572937012)","(1.8521853917263797e-06, 7.371780696985297e-08, 0.9968157410621643)","(1.2228929868740579e-08, 3.438816804646194e-07, 0.9799951910972595)","(1.4581249097034288e-08, 0.00010248897888232023, 0.9976546168327332)","(2.9211636501713656e-05, 2.863131385311135e-06, 0.951562225818634)","(8.436934706423926e-09, 2.6516196157899685e-05, 0.9999756813049316)"
22,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_8_5_34.jpg,"(0.3807317018508911, 0.9473534226417542, 7.558694778708741e-05)","(0.4794080853462219, 0.7814487218856812, 3.889867730322294e-05)","(0.5670743584632874, 0.9261369705200195, 4.4563414121512324e-05)","(0.29689669609069824, 0.6906284093856812, 1.951583180925809e-05)","(0.18948587775230408, 0.9962446093559265, 1.1673531616906985e-06)","(0.6039361357688904, 0.9946383833885193, 7.666776014048082e-07)","(0.11986594647169113, 0.9264624714851379, 0.0002066885499516502)"
23,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_14_4_49.jpg,"(0.08237598091363907, 0.13248033821582794, 0.061888303607702255)","(0.16067519783973694, 0.7838549613952637, 2.905336771164002e-07)","(0.0673370435833931, 0.1195286437869072, 0.0006381833809427917)","(0.0636281743645668, 0.3670192360877991, 7.490397990750353e-08)","(0.08873862773180008, 0.4950731098651886, 9.467724157730117e-05)","(0.317537397146225, 0.9934911131858826, 1.5273592168796313e-07)","(0.009015941992402077, 0.7349119186401367, 0.011363830417394638)"
24,cw15-12/cw15-12_28_38_0.jpg,"(4.162646291661076e-05, 2.031725125561934e-05, 0.9999997615814209)","(1.591188265592791e-05, 7.786471542203799e-06, 0.9998362064361572)","(3.2574537272012094e-06, 7.036940274929293e-08, 0.999354898929596)","(9.31489410049835e-08, 6.622527871513739e-05, 0.9960430860519409)","(2.9019715839240234e-06, 7.611643468408147e-06, 0.9966692328453064)","(5.032216449762927e-06, 6.070515883038752e-05, 0.9999673366546631)","(1.667362084845081e-05, 3.996071427536663e-06, 0.9999746084213257)"
25,cw13-0/cw13-0_17_10_13.jpg,"(0.00043553297291509807, 1.6151590898516588e-05, 0.9913555979728699)","(0.009033972397446632, 0.007009591441601515, 0.18502222001552582)","(1.025018150357937e-06, 0.008414099924266338, 0.9830251932144165)","(1.9633698684629053e-05, 0.022457106038928032, 0.8610801100730896)","(0.00010083826055051759, 1.967542402780964e-06, 0.8388683795928955)","(0.006507404148578644, 0.006951223127543926, 0.977338969707489)","(4.814573549083434e-05, 0.003045588731765747, 0.9954654574394226)"
26,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_6_18_38.jpg,"(0.229573592543602, 0.9901622533798218, 0.0022349325008690357)","(0.18363136053085327, 0.9275025129318237, 0.0009541133185848594)","(0.10145648568868637, 0.9597110748291016, 0.003904192941263318)","(0.014423266984522343, 0.968848466873169, 2.5937188183888793e-05)","(0.026970412582159042, 0.9831528067588806, 0.0002307305549038574)","(0.002763002645224333, 0.9999374151229858, 0.001043397467583418)","(0.03568550944328308, 0.9945247173309326, 0.0023064911365509033)"
27,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_16_15_2.jpg,"(0.0024031673092395067, 0.31906843185424805, 0.9782393574714661)","(0.17735154926776886, 0.7611144781112671, 0.05139418691396713)","(0.0005193506367504597, 0.9408921599388123, 0.9825383424758911)","(0.027247482910752296, 0.6611273884773254, 0.1395934373140335)","(0.10575041174888611, 0.7254398465156555, 0.2647525370121002)","(2.751361535047181e-05, 0.9956698417663574, 0.9896798729896545)","(0.00614748103544116, 0.9610077738761902, 0.7393503189086914)"
28,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_9_25_41.jpg,"(0.7781916260719299, 0.8719941973686218, 0.0004695334064308554)","(0.9298525452613831, 0.37548741698265076, 5.411401616584044e-06)","(0.8584378361701965, 0.6612985134124756, 3.0095168312982423e-06)","(0.5143727660179138, 0.7247143983840942, 8.24259186629206e-05)","(0.5052262544631958, 0.835513174533844, 8.088736649369821e-07)","(0.8847715854644775, 0.8407225608825684, 1.4422886351894704e-06)","(0.47898051142692566, 0.8450189828872681, 0.00043202153756283224)"
29,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_7_12_9.jpg,"(0.00041581751429475844, 0.5756585001945496, 0.8825710415840149)","(2.6828595309780212e-06, 0.00544779421761632, 0.9797912240028381)","(3.6945777537766844e-05, 0.5961364507675171, 0.08417560160160065)","(7.878315045672935e-06, 0.002864482346922159, 0.07305306196212769)","(0.001165820867754519, 0.02316462993621826, 0.23695312440395355)","(0.00014578262926079333, 0.023701395839452744, 0.014369572512805462)","(0.00010462285717949271, 0.8155291676521301, 0.8855020403862)"
30,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_5_30_3.jpg,"(0.943603515625, 0.24867978692054749, 0.0024551490787416697)","(0.9898042678833008, 0.04481463134288788, 0.00021520820155274123)","(0.9787397384643555, 0.18198664486408234, 0.0021553472615778446)","(0.9100046157836914, 0.3630944788455963, 2.292079443577677e-05)","(0.9723522067070007, 0.14139202237129211, 0.002907836576923728)","(0.6612517237663269, 0.908250093460083, 0.014154820702970028)","(0.9803345203399658, 0.09491907805204391, 0.0028058644384145737)"
31,cw18-48/cw18-48_28_28_48.jpg,"(0.0008086101152002811, 0.054970089346170425, 0.9740713238716125)","(0.0005034147761762142, 0.002206532983109355, 0.38069644570350647)","(0.002019837498664856, 0.00040320606785826385, 0.5836582183837891)","(2.2769638690078864e-06, 0.001030002604238689, 0.10414830595254898)","(0.00043023747275583446, 0.00022029085084795952, 0.14238809049129486)","(0.0002983163285534829, 0.03230119124054909, 0.9013971090316772)","(0.0006756660295650363, 0.054309580475091934, 0.9975534081459045)"
32,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_17_4_21.jpg,"(6.332157499855384e-05, 0.04929482564330101, 0.9999984502792358)","(0.00022186417481862009, 0.0055315070785582066, 0.9168561697006226)","(5.4121832363307476e-05, 0.0004833526036236435, 0.9986163377761841)","(4.296053646157816e-07, 2.2716416424373165e-05, 0.9341134428977966)","(2.3013467398413923e-06, 0.0011695760767906904, 0.9908177852630615)","(0.0010953274322673678, 0.001661672256886959, 0.9972708821296692)","(1.4068374412090634e-06, 1.4928128621249925e-05, 0.9995554089546204)"
33,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_9_12_31.jpg,"(0.11609300971031189, 0.9984632730484009, 0.0010587818687781692)","(0.01356073934584856, 0.9996817111968994, 2.5660847313702106e-05)","(0.0068328347988426685, 0.9995784163475037, 1.0836999990715412e-06)","(0.0005019394448027015, 0.9861040711402893, 0.0002489947946742177)","(0.0164871234446764, 0.9988239407539368, 2.1672456114174565e-06)","(0.001167228794656694, 0.9999998807907104, 0.027171462774276733)","(0.03771686926484108, 0.9882841110229492, 0.0003882885503116995)"
34,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_10_13_6.jpg,"(0.4005577266216278, 0.9105521440505981, 0.0012216165196150541)","(0.6811029314994812, 0.516582190990448, 5.8445559261599556e-05)","(0.897739589214325, 0.1223696768283844, 1.2967963812116068e-05)","(0.8765740990638733, 0.1626163125038147, 3.7986546885804273e-06)","(0.9349236488342285, 0.06488936394453049, 1.4579697449335072e-07)","(0.18974316120147705, 0.9452980756759644, 0.00011035201168851927)","(0.6008108854293823, 0.4106801152229309, 5.579833668889478e-05)"
35,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_23_19_30.jpg,"(0.07655486464500427, 0.9167888760566711, 0.917327344417572)","(0.039927370846271515, 0.8377951979637146, 0.04645572975277901)","(0.07347379624843597, 0.9493300914764404, 0.13084197044372559)","(0.29961156845092773, 0.28105029463768005, 0.0628107339143753)","(0.8306241035461426, 0.9902386665344238, 0.22174662351608276)","(0.0010424426291137934, 0.9839906692504883, 0.9845385551452637)","(0.07399896532297134, 0.8366474509239197, 0.6055626273155212)"
36,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_18_8_4.jpg,"(0.9988579750061035, 0.8668422698974609, 3.3189659006893635e-05)","(0.20886512100696564, 0.9930034279823303, 2.1284169093860328e-08)","(0.054885346442461014, 0.9996438026428223, 0.03169851005077362)","(0.16965028643608093, 0.9782915115356445, 0.027758561074733734)","(0.0015513026155531406, 0.9999945163726807, 8.931440970627591e-05)","(0.9544019103050232, 0.9990426898002625, 1.3484442433764343e-06)","(0.10944540053606033, 0.9670560956001282, 0.007495383732020855)"
37,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_7_25_8.jpg,"(0.0010667014867067337, 0.5253398418426514, 0.42180541157722473)","(0.005727014504373074, 0.06931343674659729, 0.4637334644794464)","(0.0009169398108497262, 0.3148617446422577, 0.1254788488149643)","(0.00046618859050795436, 0.017295636236667633, 0.0030111365485936403)","(0.0006841612048447132, 0.18058672547340393, 0.012867187149822712)","(0.02207254432141781, 0.19064733386039734, 0.02935398556292057)","(0.05464709550142288, 0.8242802619934082, 0.04161377251148224)"
38,NA7UCDtemporalgyri _4G8/NA7UCDtemporalgyri _4G8_6_19_2.jpg,"(0.005328916013240814, 0.3667376637458801, 0.9741293787956238)","(0.0007553116884082556, 0.007457643281668425, 0.9875812530517578)","(0.0007790442323312163, 0.20956264436244965, 0.7233322262763977)","(0.0024201825726777315, 0.008064016699790955, 0.0008837849018163979)","(0.00013181264512240887, 0.0359971709549427, 0.9980556964874268)","(0.0454673208296299, 0.40360209345817566, 0.8220823407173157)","(0.0005648194928653538, 0.6701264977455139, 0.7036363482475281)"
39,cw15-12/cw15-12_28_40_51.jpg,"(4.06520575779723e-06, 0.0012270081788301468, 0.9999994039535522)","(0.0001180900217150338, 2.3550148398499005e-05, 0.9946815371513367)","(4.522994913713774e-06, 3.819018274953123e-07, 0.9994165897369385)","(2.6725063051458164e-08, 2.737449676715187e-06, 0.9276543855667114)","(7.378856139439449e-07, 7.3478986450936645e-06, 0.994572103023529)","(0.0010991330491378903, 0.0006332602933980525, 0.9917572140693665)","(1.618442269091247e-08, 2.28283369096971e-07, 0.9999964237213135)"
40,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_6_28_19.jpg,"(0.016876420006155968, 0.002372685121372342, 0.566247820854187)","(2.5019071472343057e-05, 0.01467433013021946, 0.011345620267093182)","(0.0001092834718292579, 0.03150368481874466, 0.21123839914798737)","(7.82147196787264e-07, 0.0030829813331365585, 0.7762517333030701)","(1.120715751312673e-06, 0.001544418279081583, 0.5181909799575806)","(0.7978928089141846, 0.017026536166667938, 0.00015085381164681166)","(0.0005823821411468089, 0.10766549408435822, 0.7000362873077393)"
41,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_7_10_57.jpg,"(0.43228572607040405, 0.8236485123634338, 0.0003390964411664754)","(0.035617709159851074, 0.9429415464401245, 0.004846269264817238)","(0.3149670362472534, 0.9317236542701721, 0.00010984807158820331)","(0.22159633040428162, 0.7513586282730103, 8.822224231153086e-07)","(0.11429496854543686, 0.9147384166717529, 0.00799220148473978)","(0.13953344523906708, 0.9124978184700012, 2.8164561172161484e-06)","(0.053401242941617966, 0.9600566029548645, 9.886927728075534e-06)"
42,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_0_23_2.jpg,"(0.002187590580433607, 0.9771956205368042, 0.8755771517753601)","(0.0004144472477491945, 0.09950652718544006, 0.8256280422210693)","(0.0078089069575071335, 0.28498271107673645, 0.6375064253807068)","(1.6717262042220682e-05, 0.00894671119749546, 0.30267009139060974)","(3.4099975891876966e-06, 0.9757753610610962, 0.9956313371658325)","(0.005427203141152859, 0.22314509749412537, 0.9642081260681152)","(0.00026426734984852374, 0.8395248651504517, 0.6317998766899109)"
43,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_7_29_24.jpg,"(0.0013707710895687342, 0.07567107677459717, 0.7425591349601746)","(6.643951928708702e-05, 0.02221522480249405, 0.1420738846063614)","(0.000139313968247734, 1.8264083337271586e-05, 0.12028349936008453)","(1.5527053847108618e-06, 0.003214801661670208, 0.8340521454811096)","(8.988938134280033e-06, 0.012175078503787518, 0.6740012168884277)","(0.00017526729789096862, 0.006209849379956722, 0.8001824021339417)","(3.610138810472563e-05, 0.26712876558303833, 0.9026527404785156)"
44,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_15_6_34.jpg,"(0.7094153165817261, 0.9970498085021973, 0.0003567015228327364)","(0.033581171184778214, 0.998212456703186, 0.0003467378846835345)","(0.011658421717584133, 0.9999778270721436, 0.0004907537950202823)","(0.39855891466140747, 0.9820744395256042, 2.598065748316003e-06)","(0.2001987099647522, 0.9961612224578857, 0.0006087445071898401)","(0.000403782119974494, 0.9998238682746887, 0.0008375160396099091)","(0.20401477813720703, 0.9862369298934937, 0.001708204741589725)"
45,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_5_12_58.jpg,"(0.9635059833526611, 0.2965989410877228, 0.0005193583201617002)","(0.9988018274307251, 0.04906703159213066, 6.868745913379826e-06)","(0.9997263550758362, 0.11287607997655869, 1.4500728866551071e-06)","(0.20991264283657074, 0.02303166128695011, 1.0458451242811861e-06)","(0.9987706542015076, 0.0037901285104453564, 1.3798959116684273e-05)","(1.0, 4.867075040237978e-05, 1.3733969517204514e-08)","(0.9688272476196289, 0.08317536115646362, 1.4986911082814913e-05)"
46,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_23_17_24.jpg,"(0.1049177423119545, 0.9962714910507202, 0.004905007313936949)","(0.016077978536486626, 0.9890329837799072, 0.01053024921566248)","(0.026416895911097527, 0.9987924098968506, 0.00130177300889045)","(0.040274254977703094, 0.6517930626869202, 6.365259650920052e-06)","(0.03237409517168999, 0.8992276787757874, 0.0003815868403762579)","(0.0023534749634563923, 0.8968957662582397, 0.030357057228684425)","(0.253584623336792, 0.8887685537338257, 0.0030837669037282467)"
47,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_6_20_23.jpg,"(2.2560717738429048e-08, 0.3131566047668457, 1.0)","(0.00010842017945833504, 0.003985217772424221, 0.9999916553497314)","(0.0005118218250572681, 0.017720116302371025, 0.9998192191123962)","(1.007234047278871e-07, 3.4642216633073986e-05, 0.9999686479568481)","(0.0006070368108339608, 0.3999427855014801, 0.9997891783714294)","(0.00027873404906131327, 0.806085467338562, 0.9999630451202393)","(2.7195679308533727e-07, 0.00010636758815962821, 1.0)"
48,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_15_32_23.jpg,"(0.9744271039962769, 0.20844770967960358, 0.0011248623486608267)","(0.9959270358085632, 0.027137337252497673, 3.170628406223841e-05)","(0.9948716163635254, 0.07631173729896545, 0.00034963872167281806)","(0.9938389658927917, 0.10989489406347275, 7.37774753361009e-05)","(0.9469737410545349, 0.390863299369812, 9.059144758793991e-06)","(0.9807012677192688, 0.8425537943840027, 0.000259476451901719)","(0.9957606196403503, 0.036037713289260864, 0.0024650897830724716)"
49,cw15-29/cw15-29_3_31_76.jpg,"(0.046157240867614746, 0.0373988002538681, 0.7565884590148926)","(0.01262540090829134, 0.021956922486424446, 0.8941498398780823)","(0.0035500351805239916, 0.18352726101875305, 0.5316141843795776)","(0.0022408224176615477, 0.07460828870534897, 0.01615048572421074)","(0.00034582920488901436, 0.6084951162338257, 0.29176217317581177)","(0.008355415426194668, 0.030117172747850418, 0.8192955255508423)","(0.0007988361758179963, 0.04215918481349945, 0.8174092173576355)"
50,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_9_29_7.jpg,"(0.8649380803108215, 0.8302257061004639, 0.00475857499986887)","(0.8577669858932495, 0.3335811495780945, 0.00894167646765709)","(0.8976183533668518, 0.26785528659820557, 0.0002532326616346836)","(0.9938035011291504, 0.11481676995754242, 1.9421923980189604e-07)","(0.8000853061676025, 0.5650063157081604, 0.0014844213146716356)","(0.0872470811009407, 0.7811996936798096, 0.1918904185295105)","(0.9879865050315857, 0.13565917313098907, 0.003125476883724332)"
